ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,imp.ssp126.2050,imp.ssp126.2100,imp.ssp245.2050,imp.ssp245.2100,imp.ssp370.2050,imp.ssp370.2100,imp.ssp585.2050,imp.ssp585.2100,TEV
BF100,-2.0711021,41.08933994,Kenya,Faza,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,0.20035956898089166,0.19232659815477574,0.20437932625206987,0.20561477834249614,0.20708247930724652,0.21715567799390129,0.21265961713764156,0.2260673086872285,1395221.4921252728
BF101,-2.0711021,41.33933994,Kenya,Kiwayu,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,0.20441400985053323,0.19620155638111067,0.20835326503205973,0.20945526160399133,0.21114160654551897,0.22104039808648662,0.21675746308945967,0.22997441280948627,1706307.5580882137
BF101,-2.0711021,41.33933994,Kenya,Ndau,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,0.20441400985053323,0.19620155638111067,0.20835326503205973,0.20945526160399133,0.21114160654551897,0.22104039808648662,0.21675746308945967,0.22997441280948627,1706307.5580882137
BG99,-2.3211021,40.83933994,Kenya,Matondoni,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,0.20220934824717443,0.19488042134758346,0.2063504425999587,0.20760241423539696,0.20883686505976726,0.21898462593243961,0.21457991707317384,0.2285742800264447,1514520.8505675383
BK95,-3.3211021,39.83933994,Kenya,Uyombo,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,0.19074549060300736,0.18388712913748387,0.1941864811149865,0.19556069076056257,0.19693897527919618,0.20756271622703928,0.2025140525511773,0.21610713238865464,1312330.06879823
BK96,-3.3211021,40.08933994,Kenya,Mida,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,0.19470981090258213,0.1870690338832044,0.19848998451590424,0.19961884030100405,0.2013690314618298,0.21221778149547502,0.20700176878666088,0.22109028870465758,1279432.6287378664
BO94,-4.3211021,39.58933994,Kenya,Gazi,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,0.19310674332372021,0.1871638565597722,0.19661999627288376,0.19782356411677604,0.19988506588501187,0.21064735346216257,0.20536951882858365,0.21916052812129466,1427352.4389220702
BP93,-4.5711021,39.33933994,Kenya,Vanga,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,0.1932369332178748,0.187294115662456,0.1968027010746051,0.19821328140555047,0.20034423586888375,0.21138705965633986,0.2059013867463229,0.21991453563909216,1378674.7087031808
BQ92,-4.8211021,39.08933994,Tanzania,Boma Subutuni,0.421218761,0.121503075,0.037401245,0.044785599,0.078358014,0.05211359,0.082431684,0.074772713,0.170931076,0.62490868,0.458607076,0.19268371680752963,0.18693298189524651,0.196291348883889,0.19796331920943291,0.19988109157019257,0.21078839679047676,0.2053078184811029,0.21920067705551965,1488942.753145951
BQ92,-4.8211021,39.08933994,Tanzania,Moa,0.392405984,0.119166011,0.037663971,0.046466432,0.077168691,0.056560765,0.087895564,0.07139035,0.162816759,0.595702398,0.455832128,0.19268371680752963,0.18693298189524651,0.196291348883889,0.19796331920943291,0.19988109157019257,0.21078839679047676,0.2053078184811029,0.21920067705551965,1488942.753145951
BQ92,-4.8211021,39.08933994,Tanzania,Mwandusi,0.412971084,0.120902702,0.037336144,0.043927124,0.074792951,0.056103993,0.089804142,0.075201432,0.175310127,0.615137053,0.471212645,0.19268371680752963,0.18693298189524651,0.196291348883889,0.19796331920943291,0.19988109157019257,0.21078839679047676,0.2053078184811029,0.21920067705551965,1488942.753145951
BQ92,-4.8211021,39.08933994,Tanzania,Ndumbani,0.3488512,0.123036971,0.039726673,0.046589816,0.076137156,0.064412539,0.096878099,0.07314337,0.160754669,0.558204659,0.471325833,0.19268371680752963,0.18693298189524651,0.196291348883889,0.19796331920943291,0.19988109157019257,0.21078839679047676,0.2053078184811029,0.21920067705551965,1488942.753145951
BR92,-5.0711021,39.08933994,Tanzania,Kwale,0.40651269,0.117611614,0.040156303,0.047207693,0.076841926,0.069144183,0.101282734,0.065647979,0.169495943,0.6114883,0.482412765,0.1941839737753371,0.18846444777293536,0.19772882634407676,0.19942643043966377,0.20127908359090457,0.21216978954992627,0.20682108623281378,0.22047783519081196,1474091.623989981
BR94,-5.0711021,39.58933994,Tanzania,Mtambwe,0.424471592,0.134969418,0.045877452,0.049799895,0.071485588,0.057928906,0.110655815,0.06662902,0.161798599,0.655118358,0.468497928,0.20133262508465127,0.19525036593043094,0.2053562415606957,0.2066806212068589,0.20898340659643153,0.21992745377959147,0.21468697541130966,0.22857708859012446,1529608.1498651206
BR94,-5.0711021,39.58933994,Tanzania,Gando,0.346379648,0.134142161,0.054650912,0.043226244,0.042675208,0.03749056,0.119252658,0.073334345,0.140358332,0.578398966,0.413111102,0.20133262508465127,0.19525036593043094,0.2053562415606957,0.2066806212068589,0.20898340659643153,0.21992745377959147,0.21468697541130966,0.22857708859012446,1529608.1498651206
BR95,-5.0711021,39.83933994,Tanzania,Kangagani,0.381770161,0.134420226,0.044142243,0.054325556,0.077639323,0.06064554,0.132361547,0.070402771,0.154544198,0.614658186,0.49559337999999997,0.20232640908510596,0.19657261286443894,0.20656265741142663,0.20772037381003178,0.21016907369838744,0.22111653221257654,0.2158901169767069,0.2299794897895227,1481692.6233221616
BR95,-5.0711021,39.83933994,Tanzania,Mjini Kiuyu,0.339634462,0.136453842,0.047057633,0.048276964,0.040738543,0.037418702,0.11590246,0.065550155,0.142320095,0.571422902,0.401929956,0.20232640908510596,0.19657261286443894,0.20656265741142663,0.20772037381003178,0.21016907369838744,0.22111653221257654,0.2158901169767069,0.2299794897895227,1481692.6233221616
BR95,-5.0711021,39.83933994,Tanzania,Selemu,0.317631488,0.130273484,0.045777302,0.048965216,0.060017365,0.091581229,0.116724177,0.068517089,0.152456384,0.542647489,0.489296244,0.20232640908510596,0.19657261286443894,0.20656265741142663,0.20772037381003178,0.21016907369838744,0.22111653221257654,0.2158901169767069,0.2299794897895227,1481692.6233221616
DC127,-14.3211021,47.83933994,Madagascar,Lagnamena,0.24254889600000001,0.088995129,0.102133573,0.10638401,0.127769371,0.038268376,0.079988938,0.077629459,0.135391926,0.540061607,0.459048069,0.20041058841060672,0.19748834360596107,0.2073832009024542,0.2123106181096671,0.21200912636632452,0.23230429257294355,0.21902374140039052,0.24408011646089542,2338872.37821557
DC128,-14.3211021,48.08933994,Madagascar,Maromanjo,0.271846106,0.080758409,0.132731484,0.100164707,0.123627904,0.0190092,0.076628386,0.074027343,0.148985256,0.585500706,0.442278089,0.1960812475549656,0.19313335603984935,0.20295007183088093,0.20748001348305828,0.20714773498653957,0.22646688716858188,0.2138461262855114,0.23776503985366182,2109257.6714277975
DH123,-15.5711021,46.83933994,Madagascar,Andranoboka,0.258582628,0.089101478,0.104789704,0.115633227,0.118997556,0.064270712,0.073546201,0.075702269,0.120892767,0.568107036,0.453409504,0.1992190811482505,0.19601595792609472,0.20676376187119974,0.21100291667698584,0.21112423439542813,0.23201188531603506,0.21784237151311295,0.24404747656620565,2990735.6879962236
DH124,-15.5711021,47.08933994,Madagascar,Besakoa,0.263315011,0.072745856,0.123164047,0.101701651,0.134632763,0.085837867,0.071686739,0.057668272,0.122045137,0.560926564,0.471870778,0.19835105602314257,0.19493425683674387,0.20539251132001943,0.2095824094284215,0.209505663541532,0.22965008091081435,0.21613053113713762,0.24110538528930436,2195921.4769736608
DH124,-15.5711021,47.08933994,Madagascar,Tsinjoarivo,0.266733535,0.074323807,0.113443434,0.105990083,0.117985936,0.040801704,0.076112546,0.064344125,0.111637047,0.56049086,0.410881357,0.19835105602314257,0.19493425683674387,0.20539251132001943,0.2095824094284215,0.209505663541532,0.22965008091081435,0.21613053113713762,0.24110538528930436,2195921.4769736608
DH125,-15.5711021,47.33933994,Madagascar,Antafiatambalaka,0.255353876,0.068228651,0.119006816,0.090382734,0.124052479,0.068889977,0.057724122,0.094443475,0.134837878,0.532972076,0.479947931,0.19553822082109962,0.19191098943114723,0.20235222328605437,0.20651078349858837,0.2067516411695061,0.2263827575476573,0.21328635281038116,0.23813813715859616,2912757.9730875357
DI123,-15.8211021,46.83933994,Madagascar,Analanabe,0.237812402,0.054894231,0.108075185,0.095115974,0.125525081,0.056057383,0.068888591,0.100790792,0.129224051,0.495897792,0.480485897,0.1971956821734261,0.19378372569794547,0.20438901289990952,0.20850376703512008,0.20861692698014447,0.22824719325596424,0.2150544840390064,0.23972630390184416,2775006.5371354683
ET70,-25.0711021,33.58933994,Mozambique,Cumbane,0.188145794,0.109504236,0.111795167,0.056883277,0.106944359,0.034175697,0.098301294,0.075220598,0.109460447,0.466328474,0.424102395,0.1832035891466276,0.17491584560232684,0.18623058869094977,0.19162288607834407,0.19083898364075993,0.20602067695660697,0.1956236545251672,0.21784322981685122,1003670.6791624388
