ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,imp.ssp126.2050,imp.ssp126.2100,imp.ssp245.2050,imp.ssp245.2100,imp.ssp370.2050,imp.ssp370.2100,imp.ssp585.2050,imp.ssp585.2100
BF100,-2.0711021,41.08933994,Kenya,Faza,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,0.48104169110491646,0.438997100651156,0.4891777621837363,0.48403891507279395,0.5174579143320179,0.4869343108771651,0.5394716744238864,0.4884752132992168
BF101,-2.0711021,41.33933994,Kenya,Kiwayu,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,0.4917958755603332,0.4473084321518438,0.49760901142130065,0.493737340329466,0.5292402647065996,0.4956355249698785,0.5518862662668829,0.4962680218285748
BF101,-2.0711021,41.33933994,Kenya,Ndau,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,0.4917958755603332,0.4473084321518438,0.49760901142130065,0.493737340329466,0.5292402647065996,0.4956355249698785,0.5518862662668829,0.4962680218285748
BG99,-2.3211021,40.83933994,Kenya,Matondoni,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,0.481492955874412,0.4393882554845218,0.49103364011832834,0.48883224109249296,0.5182841799233208,0.49107323163982197,0.5422039655283669,0.4927419817118852
BK95,-3.3211021,39.83933994,Kenya,Uyombo,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,0.4712415492232202,0.4096780270784559,0.46591368931457766,0.47530075813330736,0.5047483188156756,0.47481475150067975,0.5148462417258176,0.4767538322734867
BK96,-3.3211021,40.08933994,Kenya,Mida,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,0.4870496176011785,0.4230018700379214,0.48224180317145504,0.49165968938992105,0.5216687459266675,0.49124689645946945,0.5330736032760095,0.4937310222332792
BO94,-4.3211021,39.58933994,Kenya,Gazi,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,0.502447367758412,0.4238780591314083,0.4891486207635057,0.4902880110610488,0.5318558697617145,0.49816317630847196,0.531698482673499,0.500806609824797
BP93,-4.5711021,39.33933994,Kenya,Vanga,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,0.4899944210720137,0.41764062654988854,0.48147140439634745,0.477762364348872,0.5205157333268932,0.49051221336584017,0.5200146079076504,0.49275294737878655
BQ92,-4.8211021,39.08933994,Tanzania,Boma Subutuni,0.421218761,0.121503075,0.037401245,0.044785599,0.078358014,0.05211359,0.082431684,0.074772713,0.170931076,0.62490868,0.458607076,0.48897915255136964,0.41779081761276826,0.4824892592361167,0.4745533327406054,0.5187056568897914,0.49192916967108524,0.5204713214219656,0.4943082380000316
BQ92,-4.8211021,39.08933994,Tanzania,Moa,0.392405984,0.119166011,0.037663971,0.046466432,0.077168691,0.056560765,0.087895564,0.07139035,0.162816759,0.595702398,0.455832128,0.48897915255136964,0.41779081761276826,0.4824892592361167,0.4745533327406054,0.5187056568897914,0.49192916967108524,0.5204713214219656,0.4943082380000316
BQ92,-4.8211021,39.08933994,Tanzania,Mwandusi,0.412971084,0.120902702,0.037336144,0.043927124,0.074792951,0.056103993,0.089804142,0.075201432,0.175310127,0.615137053,0.471212645,0.48897915255136964,0.41779081761276826,0.4824892592361167,0.4745533327406054,0.5187056568897914,0.49192916967108524,0.5204713214219656,0.4943082380000316
BQ92,-4.8211021,39.08933994,Tanzania,Ndumbani,0.3488512,0.123036971,0.039726673,0.046589816,0.076137156,0.064412539,0.096878099,0.07314337,0.160754669,0.558204659,0.471325833,0.48897915255136964,0.41779081761276826,0.4824892592361167,0.4745533327406054,0.5187056568897914,0.49192916967108524,0.5204713214219656,0.4943082380000316
BR92,-5.0711021,39.08933994,Tanzania,Kwale,0.40651269,0.117611614,0.040156303,0.047207693,0.076841926,0.069144183,0.101282734,0.065647979,0.169495943,0.6114883,0.482412765,0.5065582906886802,0.43169531063534794,0.4999005504016662,0.4875368651445303,0.5381789215768513,0.5107667460501245,0.540982038329466,0.5135308545619116
BR94,-5.0711021,39.58933994,Tanzania,Mtambwe,0.424471592,0.134969418,0.045877452,0.049799895,0.071485588,0.057928906,0.110655815,0.06662902,0.161798599,0.655118358,0.468497928,0.5357329172209339,0.44953714408763906,0.5289056131998789,0.5155626928154932,0.5703559720433966,0.5358814882675217,0.5665663263626234,0.5405617487124484
BR94,-5.0711021,39.58933994,Tanzania,Gando,0.346379648,0.134142161,0.054650912,0.043226244,0.042675208,0.03749056,0.119252658,0.073334345,0.140358332,0.578398966,0.413111102,0.5357329172209339,0.44953714408763906,0.5289056131998789,0.5155626928154932,0.5703559720433966,0.5358814882675217,0.5665663263626234,0.5405617487124484
