"ISO3","Villages","Country.x","x","y","Livelihood","Demography","Cultural","Health","Learning","Assets","Flexibility","Agency","Organisation","Sensitivity","AdaptiveCapacity","ic2020","VillNation","Vulnerable","ID","Country.y","CoralExt","seagrassExt","mangroveExt","Cropland","Nb_sp","FRic","FDiv","FEve","FDis","FSpe","FOri","std_corals","std_seagrass","std_mangrove","std_cropcover","std_Nb_sp","std_FRic","std_FDiv","std_FEve","evspsbl_245_2050","evspsbl_370_2050","evspsbl_585_2050","npp_245_2050","npp_370_2050","npp_585_2050","pH_trend_245_2050","pH_trend_370_2050","pH_trend_585_2050","tap_trend_245_2050","tap_trend_370_2050","tap_trend_585_2050","sst_trend_245_2050","sst_trend_370_2050","sst_trend_585_2050","ts_trend_245_2050","ts_trend_370_2050","ts_trend_585_2050","cdd_245_2050","cdd_370_2050","cdd_585_2050","r10p_245_2050","r10p_370_2050","r10p_585_2050","sst90p_245_2050","sst90p_370_2050","sst90p_585_2050","ts90p_245_2050","ts90p_370_2050","ts90p_585_2050","sea_level_245_2050","sea_level_370_2050","sea_level_585_2050","TC","tc_245_2050","tc_370_2050","tc_585_2050","hzd.mn.ssp245.2050","hzd.mn.ssp370.2050","hzd.mn.ssp585.2050","exp.mn.wioo","hzd.sd.ssp245.2050","hzd.sd.ssp370.2050","hzd.sd.ssp585.2050","exp.sd.wioo","wgts.Exp","wgts.ssp245.2050","wgts.ssp370.2050","wgts.ssp585.2050","imp.ssp245.2050","imp.ssp370.2050","imp.ssp585.2050","risk585","risk370","risk245","CoralsVal","SeagrassVal","MangroveVal","CropsVal","TEV","ld_ssp585","ld_ssp370","ld_ssp245"
"KEN","Faza","Kenya",41.111485,-2.05526,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,0.299105691,"Faza (KEN)",0.2614056829176544,"BF100","Kenya",5052746.453501431,5843741.970800561,6545059.324910167,1414136.392742233,146.23833252729798,0.646235974208442,0.6236587174403901,0.4265718205527782,0.4988188598316616,0.4588876472801928,0.09731345124250002,0.15690259428637118,0.15302407556671369,0.18355273823307144,0.18715898812450907,0.4069689875480613,0.646235974208442,0.6236587174403901,0.4265718205527782,0.26285850244595815,0.2520088983050101,0.26902894807304967,0.29558785721330194,0.2784713201212612,0.3662224132857701,0.05800100897403876,0.1158102880232738,0.0946084745747668,0.2842014975147,0.28293413355346086,0.35655589884929484,0.10688440693252874,0.13088854781926337,0.1464373180029065,0.41428373508950145,0.5142711763519353,0.6104390972358408,0.2938297534984213,0.29610554442502546,0.29365490405442046,0.2113874707475442,0.2296353693343398,0.21459796946474544,0.13127236001919204,0.1592503080247884,0.1467013142080422,0.496796702927697,0.48012306403281646,0.5164029925330946,0.3504634234489228,0.5011959817494076,0.6227565794269785,1.2076252936121208,0.0867945210665829,0.0867945210665829,0.0867945210665829,0.39587336752220115,0.4401500534052069,0.5010040225854548,0.5258588749374179,0.18773368575026272,0.19053691836147893,0.22802910041350336,0.13891419865856636,0.31664832029635614,0.42931791321827967,0.43092996554314233,0.4710585328011407,0.41693173905473496,0.4377874412066796,0.4528002246126293,0.11836455194013168,0.11444012504140458,0.10898832597764828,1250.13,852.6999999999999,5364.37,332.433972,4687977.557117478,4133087.1940638744,4151484.8192896554,4177042.730946459
"KEN","Gazi","Kenya",39.51168,-4.428525,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,0.299105691,"Gazi (KEN)",0.058062791386249285,"BO94","Kenya",6041615.218674613,5318764.328610396,6320754.226003745,1837027.9139233923,151.05127638693324,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.5016495225171921,0.46205916618274545,0.09698330063928357,0.18353018137461888,0.16011391416714071,0.17899889560569013,0.2283383586358761,0.430087898459507,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.2336140263102309,0.23977299981785183,0.2525697842955914,0.2639312118021026,0.2507012656284085,0.32751734414451317,0.07665190039376824,0.14093638079769866,0.11220950550544206,0.25034327676815726,0.2509761636564002,0.3172378180192239,0.1380904364099645,0.15368329816290804,0.18641306290564405,0.4081258441231035,0.5120911027456024,0.6139236850858508,0.2587502940769412,0.262606772029322,0.2582673886645466,0.22093428588265068,0.2556182404095105,0.2167615912750358,0.17265110156032126,0.1920473233622103,0.1943534738556516,0.5017103749280678,0.4997456339025328,0.5287010997446835,0.3642201852378338,0.5082972237536718,0.6321736197503993,1.303974218106094,0.09444223461726756,0.09444223461726756,0.09444223461726756,0.39561846049058985,0.4469662073561243,0.5050477061396105,0.5335734499482284,0.1823476116800903,0.18828963356768552,0.22365119171174283,0.13493861738728435,0.3132707066353226,0.4231645562301807,0.4281504910054709,0.4663737974753726,0.4252652372211962,0.44832440733681017,0.4632209148516002,0.026895899344776007,0.02603096653656106,0.024692086752598128,1250.13,852.6999999999999,5364.37,332.433972,4660566.960977591,4535216.821105549,4539247.898374981,4545487.8372608395
"KEN","Ndau","Kenya",41.2143106,-2.0139748,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,0.299105691,"Ndau (KEN)",0.23489562507912962,"BF101","Kenya",4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698515,0.18403797286824097,0.414473911262318,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.2616070024241148,0.251623480234474,0.27228538312549044,0.2886303857243548,0.27462219465812615,0.360339116533212,0.05950124304980254,0.11822967308455234,0.09647455873255756,0.2820341988797709,0.2812168343231704,0.35404275117849915,0.11033674058199185,0.13403446773841965,0.15143269355287167,0.4133606357474681,0.5131207880280684,0.6115803780956738,0.2922870846317905,0.2945243673626965,0.29219394078774463,0.2094855011657272,0.2271378543806973,0.2123829614578853,0.13593492964742548,0.16265205656900872,0.15202673009253,0.4997230568778826,0.4819239300360912,0.5195983899564142,0.3525239864292003,0.5022404364624732,0.6242652674024711,1.22916853938988,0.08834755346308844,0.08834755346308844,0.08834755346308844,0.3960117218930226,0.4404254954522722,0.5022384327331688,0.536492973103923,0.18717547769922463,0.19012723448982916,0.22738046457932704,0.14198119654042085,0.3233744337972421,0.4286187965806542,0.4303952286972857,0.47027629064309234,0.4260569925455464,0.4472293217228523,0.462907876138151,0.10873503491952329,0.10505221107980454,0.1000789235833202,1250.13,852.6999999999999,5364.37,332.433972,6058048.413171701,5399326.307421314,5421637.032539513,5451765.448965836
"KEN","Kiwayu","Kenya",41.262016,-2.020125,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,0.299105691,"Kiwayu (KEN)",0.01,"BF101","Kenya",4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698515,0.18403797286824097,0.414473911262318,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.2616070024241148,0.251623480234474,0.27228538312549044,0.2886303857243548,0.27462219465812615,0.360339116533212,0.05950124304980254,0.11822967308455234,0.09647455873255756,0.2820341988797709,0.2812168343231704,0.35404275117849915,0.11033674058199185,0.13403446773841965,0.15143269355287167,0.4133606357474681,0.5131207880280684,0.6115803780956738,0.2922870846317905,0.2945243673626965,0.29219394078774463,0.2094855011657272,0.2271378543806973,0.2123829614578853,0.13593492964742548,0.16265205656900872,0.15202673009253,0.4997230568778826,0.4819239300360912,0.5195983899564142,0.3525239864292003,0.5022404364624732,0.6242652674024711,1.22916853938988,0.08834755346308844,0.08834755346308844,0.08834755346308844,0.3960117218930226,0.4404254954522722,0.5022384327331688,0.536492973103923,0.18717547769922463,0.19012723448982916,0.22738046457932704,0.14198119654042085,0.3233744337972421,0.4286187965806542,0.4303952286972857,0.47027629064309234,0.4260569925455464,0.4472293217228523,0.462907876138151,0.00462907876138151,0.004472293217228523,0.0042605699254554645,1250.13,852.6999999999999,5364.37,332.433972,6058048.413171701,6030005.229926867,6030955.044343831,6032237.674295588
"KEN","Matondoni","Kenya",40.8392867,-2.2677526,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,0.299105691,"Matondoni (KEN)",0.37092060570870106,"BG99","Kenya",5573811.292188116,8274565.227132752,6808402.824797056,1598336.751420018,144.45233532455828,0.6358074193872516,0.613543287319198,0.4188924143856959,0.4907379361673724,0.4515140881086452,0.09551826433028418,0.16104999007680013,0.15457039959477553,0.1772356747643838,0.20567051814054893,0.4034795305348205,0.6358074193872516,0.613543287319198,0.4188924143856959,0.2635228282807059,0.251740674624396,0.2656828931062251,0.30040885594038896,0.2786357865793093,0.3681445333330151,0.06032686143688878,0.12413925403136002,0.10297333448769974,0.2813330355488447,0.2799381103936532,0.35334859040883326,0.10930969461714991,0.14038414817298478,0.14902796137318355,0.4143151641815663,0.5142667525530044,0.6091225059749357,0.290384791110287,0.29275336572176325,0.29015227247267195,0.21391178048068812,0.2334409245970757,0.2169194478347775,0.13407920053853553,0.17526637808248763,0.14964399361813469,0.4954826107616095,0.48170829568112744,0.515725920414415,0.3492633452728298,0.5006117217218641,0.6218872122551192,1.2196032706395663,0.08771093793175783,0.08771093793175783,0.08771093793175783,0.39687041244690946,0.4430420851548114,0.5014192559405208,0.5179306629067415,0.18819854984528317,0.1907557208356245,0.22762461386738964,0.13605262732156462,0.31084891718695445,0.42979126107153415,0.4310765633382568,0.4706597261130877,0.41071420635953154,0.4325913056337406,0.44649835806683946,0.16561544142209259,0.16045702910998488,0.15234236219604588,1250.13,852.6999999999999,5364.37,332.433972,5107784.377600394,4261856.413215237,4288204.471036241,4329652.43992869
"KEN","Mida","Kenya",39.96751292,-3.33558007,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,0.299105691,"Mida (KEN)",0.29837645730443935,"BK96","Kenya",4529388.747228705,4718758.739717392,5595311.487823924,1936159.2526381323,149.61530573888456,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.5020454088301578,0.4621904743491806,0.09715524730816058,0.16065294503412497,0.1414225264884971,0.16960660412078957,0.23408096210398796,0.42233827644318733,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.2486575651433512,0.2441803830552726,0.25639425022864226,0.282838111143916,0.2640350550760065,0.35650797910142673,0.06437574457520992,0.118414878831113,0.09773484857418784,0.2659901486333186,0.26587927625114327,0.33624442015972267,0.11426176512582176,0.13261677446079892,0.15478302397899074,0.41402895680322627,0.513451191778666,0.6085730522947699,0.2758640255026453,0.27863437568313715,0.27568966028589037,0.21978370763023053,0.24527982541566096,0.21821856667468412,0.13883734087994018,0.15945202504257186,0.15521202766535777,0.49844276638770274,0.4899924138739154,0.521870592866847,0.35659644779437805,0.5041669825259862,0.62556911672588,1.284101409503256,0.09262592527024124,0.09262592527024124,0.09262592527024124,0.39568958118652586,0.4419573686913551,0.5016728529016409,0.5319674591709102,0.18424707308873903,0.1886621334932437,0.22684279060534684,0.1369598191236915,0.3156111017566178,0.4252650017211998,0.4285416841038258,0.4696194404568333,0.423126502990971,0.4442283932878717,0.4589037746434533,0.1369260825217484,0.13254729422327835,0.12625098695406217,1250.13,852.6999999999999,5364.37,332.433972,4034497.652864711,3482069.6943147574,3499735.905427326,3525138.3423266937
"KEN","Uyombo","Kenya",39.961265,-3.389225,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,0.299105691,"Uyombo (KEN)",0.1535045472653983,"BK95","Kenya",5420009.60805591,5638381.8457952645,5444013.645183466,2068292.8994417496,144.43626037468022,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.4848297791544817,0.446279252645515,0.09375709788478254,0.1668077604826714,0.14822242187731122,0.16800652607510885,0.2507281452464403,0.40863409720242655,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.2616172497949885,0.2552143663498667,0.27110474159941916,0.2972724639193402,0.27800779030930967,0.3768671814820496,0.06406334313643008,0.11816446329610077,0.09732877118649828,0.27867788954936085,0.2795700403504985,0.35448274940920926,0.11377199019785345,0.13165607537930493,0.15415474963143416,0.41467943197286894,0.5145844001901559,0.6092270056315102,0.2894585065324012,0.2923983846563789,0.28918621938110173,0.2314238160634078,0.2590384394125493,0.22934859108686723,0.13789041283185802,0.15760896426345938,0.15419259438059316,0.4980083059584275,0.48962166953875474,0.5213607918626438,0.3563936736556097,0.5039806660124759,0.6254037903163018,1.293592716100286,0.09329751548541534,0.09329751548541534,0.09329751548541534,0.398268723368094,0.4439304790877895,0.5040822653603663,0.5136945816127721,0.18292110291228225,0.1866040799178454,0.22530209112340116,0.13233470550416407,0.30480643399527985,0.4237531152423984,0.42625870837032015,0.4680611519127976,0.4105533828723748,0.431158641227587,0.4456652529323524,0.06841164288329997,0.06618481202120505,0.06302181116610163,1250.13,852.6999999999999,5364.37,332.433972,4147483.9112862204,3863747.7230830756,3872983.4682567697,3886101.9634146956
"KEN","Vanga","Kenya",39.217288,-4.660233,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,0.299105691,"Vanga (KEN)",0.4733623760874787,"BP93","Kenya",6563064.689828624,5557209.1562858885,5693829.296317222,1732485.849882813,152.9823602840037,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.5062535625501171,0.4664236345672019,0.09796513103171814,0.19562934394786913,0.1736120206038364,0.18668023872692752,0.22011229619309391,0.4368528140690874,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.23179501629318025,0.24131167875287785,0.2539513026489564,0.26750600681285414,0.25290278016344747,0.32464414861681856,0.0809528288208789,0.1355788420938726,0.11277890711757016,0.2512102978567887,0.25126095098797047,0.3173074563588288,0.14136780569501353,0.15682501027020715,0.1892551557156665,0.40599674843524114,0.5121023736592432,0.615627429187853,0.2570084260661186,0.2613273292370017,0.2563222619702003,0.2234309674321983,0.26016762261570275,0.2204555676487055,0.17233989099458025,0.19100942706465265,0.1944780714489098,0.502134101570359,0.5014471766833976,0.5295664299458525,0.3645297145262065,0.5082092303603698,0.6319604546881339,1.3040317732459354,0.09455115884108604,0.09455115884108604,0.09455115884108604,0.3959968861725977,0.4480566697337345,0.505636613488171,0.5393197881592046,0.18196560593719915,0.1884788044621286,0.22335356296669892,0.13538074228510338,0.31528301495310035,0.42274792624459534,0.42835742271938615,0.4660634178164051,0.43044698157625955,0.45365587122305334,0.4684945183173389,0.22176767837465436,0.2147436211281798,0.2037574059786214,1250.13,852.6999999999999,5364.37,332.433972,4406306.052305599,3429129.7888775975,3460079.93483448,3508488.5611399105
"MDG","Analanabe","Madagascar",46.728119,-15.91111649,0.237812402,0.054894231,0.108075185,0.095115974,0.125525081,0.056057383,0.068888591,0.100790792,0.129224051,0.495897792,0.480485897,0.266448673,"Analanabe (MDG)",0.38812445565929027,"DI123","Madagascar",2911684.3223969596,3996593.926563941,10967411.735376265,1647680.9643600371,169.13769267434265,0.6797877501073499,0.648273328737618,0.4179873996173139,0.5260323887138286,0.48085137246374865,0.09651424733142228,0.12301572408178275,0.10954899403948408,0.21999918560294593,0.2305292596539969,0.5326621342753715,0.6797877501073499,0.648273328737618,0.4179873996173139,0.2078626394636254,0.21776155364480415,0.1942228351076784,0.22718329176508828,0.21295908403484803,0.25437535512243015,0.0886801992050922,0.14306221646937875,0.1400046496231651,0.18201543090874325,0.14378771741955657,0.200307189526491,0.17909159543335176,0.1826199515330084,0.21891925195982767,0.41149428655402914,0.5297048747094794,0.6291776319676091,0.22965061151589744,0.22896862459836043,0.2315275544869563,0.25699561575615965,0.2568407399133558,0.2328534254480172,0.21654444757351937,0.22704445063937423,0.2348902202058374,0.5730240531420626,0.5955071280568499,0.6154271375037693,0.30927625605481146,0.4820129205248452,0.5996047952523829,4.508668311828892,0.3097387799861898,0.3097387799861898,0.3097387799861898,0.43151528317393695,0.4820351706941203,0.5323655804613888,0.5696776531844133,0.15901448059779602,0.1526755129955068,0.1622201400672872,0.13770082629661534,0.3218130487147793,0.39463937741937033,0.3838302022083375,0.3946235176340101,0.4805175413730364,0.5097185075111078,0.527222404782063,0.2046279088674202,0.1978342182672146,0.18650060918015027,1250.13,852.6999999999999,5364.37,597.849291,6686619.895037641,5318350.8485248,5363777.675252865,5439561.211257009
"MDG","Andranoboka","Madagascar",46.88876515,-15.64418097,0.258582628,0.089101478,0.104789704,0.115633227,0.118997556,0.064270712,0.073546201,0.075702269,0.120892767,0.568107036,0.453409504,0.266448673,"Andranoboka (MDG)",0.7951739313926082,"DH123","Madagascar",2897234.804989664,3991779.378375926,11916323.084079027,1641453.5529897506,169.8675431204304,0.6809947042005857,0.6486131480744176,0.4174754606993927,0.526342966493273,0.4811247921495381,0.09652121988597254,0.12578577162806717,0.11133669716839396,0.2248999110530516,0.22857533736459917,0.5378281998620549,0.6809947042005857,0.6486131480744176,0.4174754606993927,0.19625274327122472,0.20554191356652707,0.1842150318963746,0.21326375508090345,0.19969655656791732,0.23870530540290297,0.08890902407666154,0.1444496820203664,0.145378419513187,0.17265583550131175,0.1387280967445011,0.19030516466123257,0.1814016019134562,0.1850778782068829,0.2217980012965833,0.4114033287927496,0.5298304668165154,0.6292547406210455,0.2162715852591453,0.2158203075049103,0.21807384452737844,0.23842977503063553,0.23988360959529303,0.21755818737791272,0.22050802292136615,0.23025272307402764,0.238742648056087,0.5749728241286174,0.5982044231890566,0.6178821196489107,0.30807638066366905,0.4815598741056625,0.5989613420334716,4.526545096123518,0.31114864490187016,0.31114864490187016,0.31114864490187016,0.4308439429935704,0.4830806082115424,0.5336070164210279,0.5712278782091127,0.15909393558669432,0.15177847671694047,0.16201418311831764,0.13783622283047856,0.322058342984281,0.3948429956310412,0.3828524392507635,0.3945261388086293,0.4804822704666271,0.5113528241514795,0.528247725372887,0.42004882053396136,0.40661443550924503,0.38206697597139433,1250.13,852.6999999999999,5364.37,597.849291,7193061.832810825,4171624.693910783,4268259.056079356,4444830.450373537
