"ISO3","Villages","Sensitivity","AdaptiveCapacity","imp.ssp245.2050","imp.ssp370.2050","imp.ssp585.2050","risk245","risk370","risk585","TEV","ld_ssp245","ld_ssp370","ld_ssp585"
"KEN","Faza",0.475739371,0.439938475,0.587628218973022,0.6109728194201054,0.6694737871363834,0.1930656161633,0.20073549913331634,0.2199560283959028,4687977.557117478,3782890.2814928703,3746934.042263716,3656828.632444791
"KEN","Gazi",0.452323639,0.472397894,0.6153374544268286,0.6851698753167703,0.7230202656944071,0.08841995971928499,0.09845442096939735,0.10389327402225965,4660566.960977591,4248479.818018922,4201713.5394454375,4176365.4006016557
"KEN","Ndau",0.45960294,0.431459775,0.5930572323145272,0.6268154663602944,0.6853719165630621,0.18055661138515652,0.19083432492363356,0.20866186946278883,6058048.413171701,4964227.720082194,4901964.83388939,4793964.705983212
"KEN","Kiwayu",0.414274669,0.446307514,0.5930572323145272,0.6268154663602944,0.6853719165630621,0.05930572323145273,0.06268154663602944,0.06853719165630622,6058048.413171701,5698771.470657399,5678320.5690381555,5642846.788014971
"KEN","Matondoni",0.505140874,0.439983376,0.5814316182797604,0.6079392220253022,0.66387794065643,0.24891648168954095,0.26026464242748343,0.2842125472096101,5107784.377600394,3836372.6610993026,3778408.7029675413,3656087.9690451333
"KEN","Mida",0.548877292,0.497217071,0.6174903729200365,0.6518097554582447,0.6987356096478624,0.22363057016680116,0.23605969201448046,0.25305437887633914,4034497.652864711,3132260.6424179547,3082115.379496323,3013550.3552409834
"KEN","Uyombo",0.49648391,0.488835413,0.5915052688803317,0.6336888040666269,0.677487836890684,0.13631752308418743,0.14603908489278358,0.1561329521534426,4147483.9112862204,3582109.1774681653,3541789.156274438,3499925.004208196
"KEN","Vanga",0.556201287,0.459482213,0.6252892399283999,0.7030723528379568,0.7354538795061246,0.32592484031570995,0.3664683952587138,0.3833468944148963,4406306.052305599,2970181.45582575,2791534.1442984077,2717162.3113126857
"MDG","Analanabe",0.495897792,0.480485897,0.6815842945597336,0.7478040694298553,0.8414268517123665,0.30245269342535575,0.33183768575477296,0.3733827490629175,6686619.895037641,4664233.6978719365,4467747.4235465275,4189951.3766896892
"MDG","Andranoboka",0.568107036,0.453409504,0.6888969313687241,0.7664420606238834,0.8584885839374353,0.560620522161495,0.623726320539394,0.6986332733990428,7193061.832810825,3160483.7521604993,2706559.842419379,2167749.4987924797
"MDG","Antafiatambalaka",0.532972076,0.479947931,0.6599564322225663,0.7461328828370694,0.8372247002171854,0.3795367421342116,0.42909627018482693,0.48148259436550317,7053125.279172371,4376205.088850837,4026655.528733191,3657168.2213715436
"MDG","Besakoa",0.560926564,0.471870778,0.6681627478565639,0.7430560090960294,0.8392301373582763,0.4718440488079033,0.5247322706146711,0.5926486431083541,5468336.148171955,2888134.279775885,2598923.7046574005,2227534.1498974822
"MDG","Maromanjo",0.585500706,0.442278089,0.6373315104689016,0.7322367873348983,0.8435187838437402,0.5943155148565313,0.6828152635065217,0.7865864029575692,5765416.513258514,2338940.0298189325,1828702.1175330505,1230418.2765423288
"MDG","Lagnamena",0.540061607,0.459048069,0.6642126202096501,0.7646191850541806,0.8855455307407023,0.45542649204693536,0.5242716302064516,0.6071864375081927,6142210.641586075,3344885.195675173,2922023.855450328,2412743.6436965154
"MDG","Tsinjoarivo",0.56049086,0.410881357,0.6681627478565639,0.7430560090960294,0.8392301373582763,0.6681627478565639,0.7430560090960294,0.8392301373582763,5468336.148171955,1814597.641206003,1405056.1135157482,879143.6514203774
"MOZ","Mahilene",0.449914651,0.388675526,0.4468179555943743,0.488978573952002,0.5122934739256791,0.2853793393358422,0.3123070159483124,0.3271980709470274,2243058.0714076324,1602935.6408973942,1542535.2985275383,1509133.7974208954
