HH_ID,Sensitivity,Adaptation capacity,Subsistence,Demography,Culture,Health,Learning,Assets,Flexibility,Agency,Organization
AND39,0.5198139,0.407250268,0.1425875,0.0493544,0.099644,0.228228,0.107780472,0.039792879,0.0295655,0.096475,0.133636417
AND44,0.424185633,0.417557236,0.1425875,0.029802133,0.099644,0.152152,0.090721222,0.043855954,0.025930833,0.130232143,0.126817083
AND42,0.420371233,0.388962445,0.1425875,0.042691733,0.08294,0.152152,0.102270028,0.032766862,0.050421333,0.096475,0.107029222
BEL5,0.5080247,0.443774968,0.1115455,0.0493544,0.1949728,0.152152,0.079700333,0.030388884,0.036907333,0.1836,0.113178417
BEL80,0.4705344,0.48099051,0.11968,0.0990584,0.099644,0.152152,0.060122167,0.032442879,0.084728333,0.170060714,0.133636417
BEL27,0.487504233,0.62243192,0.1640925,0.055581333,0.0396024,0.228228,0.053133556,0.058172857,0.159848,0.174189286,0.177088222
BEL12,0.422267433,0.40698449,0.1640925,0.049136533,0.0568864,0.152152,0.058890361,0.032442879,0.066472833,0.136,0.113178417
BEL9,0.46069707,0.45581199,0.157086233,0.068518836,0.08294,0.152152,0.079700333,0.0363037,0.060571333,0.150146429,0.129090194
BEL4,0.566841119,0.409664092,0.135581233,0.064365486,0.1386664,0.228228,0.074189889,0.034496873,0.0295655,0.146867857,0.124543972
BEL30,0.438957433,0.346979309,0.157086233,0.0493544,0.0803648,0.152152,0.072296931,0.032766862,0.025930833,0.111228571,0.104756111
BEL97,0.592937133,0.440212673,0.165495,0.099570133,0.099644,0.228228,0.090341625,0.043037235,0.061335,0.109589286,0.135909528
BEL78,0.3957382,0.50342184,0.098175,0.0457672,0.099644,0.152152,0.099602792,0.046326505,0.081364333,0.158403571,0.117724639
BEL81,0.4529323,0.50302462,0.1425875,0.0293664,0.2049024,0.076076,0.096724389,0.082365712,0.049324167,0.156885714,0.117724639
BEL7,0.3891618,0.354180231,0.11968,0.0443194,0.0730104,0.152152,0.066540125,0.037122419,0.039444833,0.134360714,0.076712139
BEL31,0.466586929,0.340164104,0.1425875,0.058654629,0.1131928,0.152152,0.064154444,0.038604862,0.052958833,0.105460714,0.07898525
BEL110,0.509207133,0.358550282,0.091168733,0.0901664,0.099644,0.228228,0.104866875,0.031855971,0.0025375,0.112260714,0.107029222
BEL102,0.572301333,0.407660404,0.112673733,0.0364268,0.1949728,0.228228,0.080932139,0.038681678,0.013514,0.162957143,0.111575444
BEL98,0.406586586,0.392604477,0.1425875,0.045031086,0.066816,0.152152,0.086442583,0.033909965,0.012416833,0.164171429,0.095663667
BEL62,0.407481633,0.372009489,0.1425875,0.029802133,0.08294,0.152152,0.059383083,0.038604862,0.023393333,0.132903571,0.117724639
BEL79,0.5594806,0.433546508,0.165495,0.1062328,0.2116768,0.076076,0.078053736,0.032442879,0.024833667,0.191857143,0.106359083
BEL99,0.5311389,0.403667078,0.1640925,0.0429096,0.0959088,0.228228,0.079074375,0.042465683,0.027028,0.123735714,0.131363306
BEL6,0.3981602,0.333071127,0.141185,0.0193344,0.1615648,0.076076,0.016038611,0.023038884,0.035810167,0.138185714,0.11999775
BEL95,0.3762993,0.417901858,0.1210825,0.0962008,0.08294,0.076076,0.101742111,0.02907543,0.029908667,0.150146429,0.107029222
BEL55,0.5492886,0.424867494,0.141185,0.0726256,0.08294,0.252538,0.070403972,0.042712851,0.084728333,0.097932143,0.129090194
BEL28,0.565064233,0.396983004,0.125071833,0.0329156,0.1788488,0.228228,0.075421694,0.042218516,0.0160515,0.159253571,0.104037722
BEL32,0.372631629,0.373086046,0.141185,0.042177829,0.1131928,0.076076,0.085210778,0.026604879,0.049324167,0.125375,0.086571222
BEL10,0.3448276,0.394907096,0.11968,0.0228836,0.050112,0.152152,0.056751042,0.029200868,0.039444833,0.151785714,0.117724639
BEL56,0.598116333,0.425409349,0.165495,0.118904533,0.1615648,0.152152,0.037341306,0.024550884,0.062775333,0.195985714,0.104756111
BEL63,0.4970288,0.410770557,0.11968,0.0661808,0.08294,0.228228,0.085210778,0.032442879,0.0762265,0.092346429,0.124543972
BEL13,0.4257197,0.372320974,0.1640925,0.0364648,0.0730104,0.152152,0.064400806,0.032442879,0.009879333,0.150146429,0.115451528
BEL8,0.5628146,0.366302075,0.141185,0.0128896,0.131892,0.276848,0.053626278,0.030388884,0.060300667,0.124767857,0.097218389
BEL60,0.4959736,0.403625982,0.11968,0.0328776,0.115188,0.228228,0.066540125,0.030388884,0.027028,0.155125,0.124543972
BEL109,0.6848727,0.407939964,0.1425875,0.1190844,0.1949728,0.228228,0.080932139,0.038357694,0.027028,0.127985714,0.133636417
BEL103,0.4704507,0.338815478,0.1425875,0.0364648,0.1392464,0.152152,0.101742111,0.021353787,0.012416833,0.103092857,0.100209889
BEL105,0.489408633,0.418023636,0.125071833,0.0364648,0.099644,0.228228,0.080932139,0.03491343,0.034307,0.150146429,0.117724639
BEL100,0.481820867,0.350022207,0.134178733,0.019770133,0.099644,0.228228,0.073282375,0.019299793,0.0025375,0.150146429,0.104756111
BEL106,0.5756022,0.40304498,0.165495,0.0265088,0.1553704,0.228228,0.083564181,0.0363037,0.013514,0.133753571,0.135909528
KIM120,0.436597733,0.382016627,0.112673733,0.02888,0.066816,0.228228,0.112763,0.029245782,0,0.106371429,0.133636417
