ID,Country,Villages,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,cdd_126_2050,cdd_126_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,pH_trend_126_2050,pH_trend_126_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,r10p_126_2050,r10p_126_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,tap_trend_126_2050,tap_trend_126_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,sst_trend_126_2050,sst_trend_126_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,sst90p_126_2050,sst90p_126_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,ts_trend_126_2050,ts_trend_126_2100,ts_trend_245_2050,ts_trend_245_2100,ts_trend_370_2050,ts_trend_370_2100,ts_trend_585_2050,ts_trend_585_2100,ts90p_126_2050,ts90p_126_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,hzd.mn.ssp126.2050,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp126.2050,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exposure,wgts.ssp126.2050,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp126.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
BF100,Kenya,Faza,5052746.453501431,5843741.970800561,6545059.324910167,1414136.3927422327,146.23833252729798,0.646235974208442,0.6236587174403901,0.4265718205527782,0.49881885983166163,0.45888764728019277,0.09731345124250002,0.43478167336654727,0.4226958085396696,0.43391829543270083,0.41806848841014804,0.43685736168470807,0.40640879469004054,0.43192343858778937,0.4014764915191237,0.5141405337687563,0.4916097849418334,0.5614851222682716,0.5489685084226035,0.5748785689640433,0.5581816367487702,0.5577972692045695,0.5831026389796476,0.4255770466935226,0.4077250945848154,0.41864506688801273,0.42776821794808106,0.4672113522628057,0.4338612015612188,0.48923376307956445,0.42949473444487885,0.502131036752861,0.5714147804588902,0.45104577805666,0.5958563276028025,0.4565417268608652,0.6251496420807846,0.5163429284770642,0.5359000002271059,0.535227937172476,0.46592275087459656,0.5358721842178017,0.5134326941844167,0.5454102986641768,0.6030216429359596,0.5596977644612617,0.6174233117292893,0.5485341484997024,0.5820154892786217,0.5878081669742353,0.5812069389299231,0.5905084765637839,0.5714411034459042,0.5866753150145021,0.5660460470595688,0.5202833705717391,0.4980016654863375,0.5414866964302711,0.4990932155628223,0.5452462331630372,0.54671720720696,0.549265634377067,0.5502367003662847,0.5251476610993308,0.5236708463709361,0.5514185327441169,0.5623445637292109,0.5310540462070239,0.5507335069148883,0.5393965354580582,0.554835062227858,0.16598857029120506,0.1682374222544003,0.19007849008006872,0.23829320246942848,0.3582132459561714,0.646235974208442,0.6236587174403901,0.4265718205527782,0.5085126512751058,0.5348737487408721,0.5427581673038434,0.5475799621089971,0.5295111232111457,0.09535464454174483,0.09740810272975944,0.09530614625649506,0.08862508286689741,0.15091126898038837,2.5716481947267837,6.062075587732113,5.845471601368016,6.317055965193379,6.788596684723954,0.580263775213081,0.6110219947591332,0.6241501716785798,0.6622664918789684
BF101,Kenya,Kiwayu,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.4343708808562754,0.4224069133516314,0.43356381426255514,0.4178717784390411,0.4363629663057159,0.4061330382356702,0.4317698609003924,0.40145240606080995,0.514061267067271,0.49154374369367265,0.5613532863046915,0.5487530784443232,0.574751318328735,0.5585439791289413,0.5577007243026816,0.5831307982222027,0.4260752113703839,0.4071348921809445,0.4179161415555102,0.4278086378072797,0.4659544843117434,0.432521010125685,0.48825024767932035,0.42659829359778406,0.5013994165094535,0.5709919495196584,0.44994048191056457,0.5963045567802744,0.45585983638052796,0.6252158415751974,0.5149999647881357,0.53697953563143,0.5343927401121878,0.46457810401003785,0.5346540007394924,0.5117258028133063,0.5439509160308621,0.6015645538607254,0.558309371535012,0.6155354999394123,0.5479127199558896,0.5817355964419895,0.5871902341192119,0.5809445219758952,0.5897094920596352,0.5712343618504295,0.5861100102343467,0.5657586858029835,0.5213361405389666,0.4989522239977663,0.5409329443740061,0.500048984800007,0.5446035616443072,0.5467037295513888,0.5498340571338436,0.5500700393687549,0.5245291225803027,0.5252804865466364,0.5533201876191908,0.5636461861675385,0.5317646497531157,0.5514661680832449,0.5415761171301906,0.5551002198640602,0.15892240670294525,0.1655086676434866,0.18372575404067334,0.23250160945331003,0.3648970889440264,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5084943133393146,0.5344594420886849,0.5426528990417291,0.5478824306451876,0.540535147603054,0.09630575022200534,0.09838247703020814,0.09636074111879855,0.08964243559521162,0.15419298171376322,2.621795913445156,5.991945189791273,5.774945306287579,6.227064598257668,6.696269497572749,0.5903314220137931,0.6211415583591432,0.6362585837575057,0.6748703959853017
BF101,Kenya,Ndau,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.4343708808562754,0.4224069133516314,0.43356381426255514,0.4178717784390411,0.4363629663057159,0.4061330382356702,0.4317698609003924,0.40145240606080995,0.514061267067271,0.49154374369367265,0.5613532863046915,0.5487530784443232,0.574751318328735,0.5585439791289413,0.5577007243026816,0.5831307982222027,0.4260752113703839,0.4071348921809445,0.4179161415555102,0.4278086378072797,0.4659544843117434,0.432521010125685,0.48825024767932035,0.42659829359778406,0.5013994165094535,0.5709919495196584,0.44994048191056457,0.5963045567802744,0.45585983638052796,0.6252158415751974,0.5149999647881357,0.53697953563143,0.5343927401121878,0.46457810401003785,0.5346540007394924,0.5117258028133063,0.5439509160308621,0.6015645538607254,0.558309371535012,0.6155354999394123,0.5479127199558896,0.5817355964419895,0.5871902341192119,0.5809445219758952,0.5897094920596352,0.5712343618504295,0.5861100102343467,0.5657586858029835,0.5213361405389666,0.4989522239977663,0.5409329443740061,0.500048984800007,0.5446035616443072,0.5467037295513888,0.5498340571338436,0.5500700393687549,0.5245291225803027,0.5252804865466364,0.5533201876191908,0.5636461861675385,0.5317646497531157,0.5514661680832449,0.5415761171301906,0.5551002198640602,0.15892240670294525,0.1655086676434866,0.18372575404067334,0.23250160945331003,0.3648970889440264,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5084943133393146,0.5344594420886849,0.5426528990417291,0.5478824306451876,0.540535147603054,0.09630575022200534,0.09838247703020814,0.09636074111879855,0.08964243559521162,0.15419298171376322,2.621795913445156,5.991945189791273,5.774945306287579,6.227064598257668,6.696269497572749,0.5903314220137931,0.6211415583591432,0.6362585837575057,0.6748703959853017
BG99,Kenya,Matondoni,5573811.292188116,8274565.227132752,6808402.824797056,1598336.751420018,144.45233532455828,0.6358074193872516,0.613543287319198,0.4188924143856959,0.49073793616737243,0.4515140881086452,0.09551826433028418,0.43203080901942476,0.4200531830730474,0.43076959641770934,0.41524179303425784,0.43386018181615865,0.4041114064919387,0.428687390276449,0.39920933497803085,0.5138156266091696,0.49173392043816305,0.5614128277737248,0.5486019590557094,0.5749219058166903,0.5580360749054485,0.5582582796544903,0.5820587059988247,0.4275812796678649,0.4104681265383023,0.42293017293780844,0.42978990740525963,0.472041708437889,0.437398788032547,0.49399342017080583,0.4341249788892014,0.4994753451401777,0.5718962078117025,0.4495973062936322,0.5934030561060964,0.45446299235656856,0.624388226165292,0.5157704859058156,0.5327449699987087,0.5347838085330506,0.4722112474171491,0.537105248850468,0.5151970487737578,0.5472069865652708,0.6022417325562328,0.5605569564336821,0.619207218331611,0.5501159236392424,0.5820159782053413,0.5886352929984251,0.5813023307869174,0.5919785274616001,0.5715281342107792,0.5873195584660805,0.5661964323238862,0.5189653064506814,0.4970601860490402,0.5415159286439306,0.49793697330166314,0.5452081005800276,0.5463501175176718,0.5485958704812874,0.5501345908109639,0.52868264147297,0.526023732287114,0.550172511079813,0.5611399898075823,0.5323233752974271,0.5506874509090656,0.5386982788312779,0.5543106888383154,0.1694887846515956,0.16889324717068038,0.18374969047703635,0.2523367842960942,0.35472525763327434,0.6358074193872516,0.613543287319198,0.4188924143856959,0.5080849847331027,0.5345256368932484,0.5423986793205129,0.5471628528752509,0.5206595084987978,0.09434471801079798,0.09629191187238188,0.0944815398118627,0.08775371717866083,0.1479040414482874,2.539097436594797,6.1440428300711165,5.930261539342891,6.410407767146514,6.8817587964168565,0.5726471474739786,0.6026503968608768,0.6143731892942644,0.6529126086978194
BK95,Kenya,Uyombo,5420009.60805591,5638381.8457952645,5444013.645183466,2068292.8994417496,144.43626037468022,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.4848297791544817,0.446279252645515,0.09375709788478254,0.4213837622759696,0.41028193872226865,0.41861305569052654,0.4044426646374526,0.4222784442534046,0.39448517790961646,0.4164757387794106,0.3896658115543866,0.5142696368214599,0.4934517291346747,0.5615794832432299,0.5491671746589065,0.5748581204713143,0.5587954844747075,0.5573244965265829,0.5837260669787585,0.4393524985244285,0.42408623485174196,0.4373093886315109,0.43790391225500197,0.48919648013689093,0.45107274796876745,0.5038941737053348,0.44904647082775623,0.4943918669388289,0.5712754323260302,0.4427315739397993,0.587314200403625,0.4474693862006952,0.6182910277416246,0.509087242127418,0.5244586506566559,0.5352128905055363,0.47280953928539204,0.5380662034298739,0.5177923170209625,0.5477097260193808,0.6081007752702637,0.5613274977918378,0.6210964434926348,0.5502989688147573,0.5819043492845071,0.588837234869642,0.5810347694518939,0.5907791599537452,0.5713219084570123,0.5873700574405281,0.5659763274137951,0.5144994578273878,0.5031191713720906,0.5417351739296151,0.4945660535175424,0.5449406421448092,0.5474119294395549,0.5484983529408141,0.5498678307696407,0.5433221941083901,0.5361184775120578,0.5517997822162547,0.5588404549743444,0.5370375730327989,0.5510819471680065,0.5415637635296766,0.5534576104458571,0.17630863290419801,0.16464521321521539,0.17457440712298952,0.2958471882916229,0.35818890267590187,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.5095980231036055,0.5341620691621812,0.54184119213445,0.5479286150891873,0.5136600734969311,0.09261010890111826,0.09413857645986709,0.09278429207920204,0.08771849267660288,0.14412664312991294,2.5418102750711693,6.355233473778355,6.116112371887645,6.614141222015356,6.8973272711005995,0.5763558024633192,0.6032530125745807,0.6152744861159589,0.6534726409932712
BK96,Kenya,Mida,4529388.747228705,4718758.739717392,5595311.487823924,1936159.2526381323,149.61530573888456,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.5020454088301578,0.4621904743491806,0.09715524730816058,0.42069842284902725,0.409411738343693,0.41792942028776126,0.40366904469728593,0.42164774042258735,0.39386246714123424,0.41584070330096,0.3893195950539515,0.5142257374798497,0.4934026311546542,0.5615149661009148,0.5487039972984756,0.5748038869230823,0.5588541143236515,0.5573588867598512,0.5835589072391799,0.43876393192687163,0.42356922719256673,0.4362194569062218,0.4378635172782738,0.48841405480207284,0.4507246290713218,0.5034978403770947,0.4487663927407043,0.49125616340408546,0.5744731316132712,0.44079330002654993,0.5897324450413143,0.4449340182976059,0.6204393649537558,0.5077106842368246,0.5253612927616421,0.5340140974067703,0.4672037377307265,0.537758184065564,0.5173632644695667,0.5475114922531025,0.6079408781224405,0.561165340126231,0.6210217855904758,0.5504915361998683,0.5818954612062446,0.5888093801877006,0.5809640696214473,0.5908090064656569,0.5712673851428014,0.5872944549647294,0.5658519513308453,0.5149138678560092,0.5019016761905046,0.5413936418921077,0.4949283505916198,0.5444819325529671,0.5471529529336377,0.5481673759831599,0.5496545672181371,0.5423524275432818,0.5360433261391866,0.5520133289862562,0.5602070549698511,0.5373357617790311,0.551472023044405,0.5422484107245354,0.5538590560101999,0.17142998725934788,0.15974959300430067,0.176151177464518,0.27909605862082476,0.3702360172779243,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.5091304123132003,0.5340841296744028,0.5414431397630272,0.5475296217605005,0.5319430562296495,0.09250116422928589,0.09466848430027641,0.09323118474900736,0.08773280603230553,0.14934367938699,2.630004741641192,6.357278302903863,6.056246261988107,6.5410977736570155,6.882048191807254,0.5987228987907827,0.6252883331850044,0.6380235364440926,0.6768421246364024
BO94,Kenya,Gazi,6041615.218674613,5318764.328610396,6320754.226003745,1837027.9139233923,151.05127638693324,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.5016495225171921,0.46205916618274545,0.09698330063928355,0.40992740851885795,0.39861344442885616,0.4062871970987758,0.3923714756892323,0.41049340616681707,0.38423558989351886,0.40427684347339626,0.38058991881587784,0.5129186713312073,0.4939249706528244,0.5618691763194944,0.5475839421965482,0.5744803436589081,0.5593571220167826,0.5572188189510298,0.5838515643627916,0.44751610929536867,0.43310527652897596,0.4467113549375371,0.4454204581165816,0.5036620082879345,0.45915742957527794,0.5116283919270403,0.45756375617681505,0.4869151066598532,0.5780450657637543,0.4320631756961059,0.5906906986593516,0.43532262010370326,0.6141207920010117,0.49790794960485496,0.5195584574297627,0.5304020199807506,0.4710748020997639,0.5349120523203942,0.5136384196565063,0.5411103977331453,0.6060898021224717,0.5565479065579023,0.6155634016497762,0.5496537300998763,0.5816596380873298,0.5899587987968425,0.5805784123171664,0.5914524088997781,0.5709995054298028,0.5883025269376673,0.5654887781167723,0.5151835485073077,0.510800461822601,0.53789989906406,0.4987771064734311,0.5435740623809774,0.5488385970666085,0.5508905878783137,0.5503929744837575,0.5519818910316244,0.5442648423770552,0.5544290706433685,0.5601360865873025,0.543013077510337,0.5527507219023674,0.5458919563707677,0.5532088216692149,0.19320119084996973,0.1789085820320252,0.186069726800605,0.2795040609000797,0.37607229809899007,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.5077641021641173,0.5318361772828815,0.5427369760635514,0.5485746746085818,0.5313642576737297,0.09403320705525764,0.09516221284236409,0.09570147321709524,0.08982725329596965,0.14754727066678344,2.6585452106982395,6.185354523232538,5.968555150539806,6.32549993364338,6.67409003895873,0.5948079759314403,0.6239738422517652,0.6385893006886643,0.6772177909332139
BP93,Kenya,Vanga,6563064.689828624,5557209.1562858885,5693829.296317222,1732485.849882813,152.9823602840037,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.5062535625501171,0.4664236345672019,0.09796513103171814,0.4062613481312129,0.3947626741838159,0.4025404437445653,0.3883580746787227,0.4068462499155326,0.3805481922515711,0.4002783681859045,0.3771791087814312,0.5136248467616317,0.4944030415504207,0.561758424743182,0.5474800196402574,0.5746338685986122,0.5593994206608216,0.5571086916273617,0.584431976443634,0.44829225963769154,0.43495637276094945,0.4482150982730329,0.4472656172050868,0.508156946586182,0.4613808570228704,0.5162711623380859,0.46015290727062497,0.49223529303007263,0.5818620789780903,0.43307143792903,0.5927429147030463,0.43683731138177173,0.6144514269185887,0.5000179614481932,0.5207474301130302,0.5326520362915161,0.46668409546150136,0.5382725603233014,0.5191661732762716,0.5476158039916553,0.611584670971654,0.5596939581202781,0.6209459502782648,0.5476846022694077,0.5822832495272949,0.5901831693812679,0.5809345702530502,0.5915836361200296,0.5712837784931354,0.5885004464120634,0.5659001665319777,0.5150272220179007,0.5140738555869022,0.5366533438087666,0.5011998251017361,0.5435344822524575,0.5494976043126587,0.551761342280175,0.5508441939624303,0.5530833244474278,0.5451577629996942,0.5543122490635092,0.5605857404687208,0.543750592284341,0.5532151791749987,0.5458105212853528,0.5531778674571793,0.2056806710444252,0.19435539188573503,0.19440045351076693,0.2753279975391001,0.38171234236019186,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.5080680847394787,0.5316180550795625,0.5437117228315029,0.5494233313438368,0.5362673567124119,0.0942985718710138,0.09492000175105907,0.0949419802497262,0.08955508252720588,0.14822981723610987,2.696045621657555,6.122341933653381,5.966533616675804,6.316493928098929,6.677889141334203,0.6041721566850103,0.6330077706189153,0.6523756294645141,0.6895588785355217
BQ92,Tanzania,Boma Subutuni,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.4029125256800237,0.39156986815920564,0.39922462007316456,0.385374385135873,0.40350484997500424,0.37808533097406416,0.39691335350752965,0.37516632949743667,0.5138170069833923,0.4951292263727555,0.5613718202496787,0.5473987150639302,0.5744579517421071,0.5597308206149814,0.5568555967214371,0.5843777129928935,0.44871056380264696,0.43638848997058166,0.4501785831398164,0.45008530276518277,0.5128279312266543,0.46382858504624686,0.5221659356171011,0.46352055389077546,0.4953561214096542,0.5789202066552324,0.4336077558340842,0.5890368337002053,0.436738391649449,0.6100295921504799,0.4994372116130564,0.517708759844397,0.5327238619725807,0.4628163982640262,0.5387433799289788,0.520309873106124,0.5489473719177566,0.6127722783086973,0.56007322676731,0.622423825379383,0.5447801560867579,0.5820862381999186,0.5895205189194467,0.5806623242585697,0.5908780727926158,0.5710102522298741,0.5878147042038577,0.5655291554902907,0.51519145693805,0.5182802150167908,0.5357010821278148,0.5043611372255858,0.5435951324268127,0.550188902126552,0.5525373896239191,0.5513499830478406,0.5533174349471858,0.545616013914542,0.5548623313822051,0.5613106268376697,0.544284571737357,0.5534968456419779,0.546430446703058,0.552955045548868,0.20920588571781693,0.20028326593564366,0.19731973825235896,0.26465361154556116,0.3812289283957068,0.654069579773687,0.630694852548069,0.42640515780658084,0.5082196845776811,0.5314379272938747,0.5442421086071585,0.5499761000066162,0.5334732556139521,0.09572662000217236,0.09516279819476045,0.09567458264674834,0.09044721747956858,0.1470723313500958,2.6895580981834812,5.997364467024233,5.940221658239858,6.226964596607007,6.598389356395675,0.600486570617065,0.6305920261108906,0.6499324918343872,0.6864997168824204
BQ92,Tanzania,Moa,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.4029125256800237,0.39156986815920564,0.39922462007316456,0.385374385135873,0.40350484997500424,0.37808533097406416,0.39691335350752965,0.37516632949743667,0.5138170069833923,0.4951292263727555,0.5613718202496787,0.5473987150639302,0.5744579517421071,0.5597308206149814,0.5568555967214371,0.5843777129928935,0.44871056380264696,0.43638848997058166,0.4501785831398164,0.45008530276518277,0.5128279312266543,0.46382858504624686,0.5221659356171011,0.46352055389077546,0.4953561214096542,0.5789202066552324,0.4336077558340842,0.5890368337002053,0.436738391649449,0.6100295921504799,0.4994372116130564,0.517708759844397,0.5327238619725807,0.4628163982640262,0.5387433799289788,0.520309873106124,0.5489473719177566,0.6127722783086973,0.56007322676731,0.622423825379383,0.5447801560867579,0.5820862381999186,0.5895205189194467,0.5806623242585697,0.5908780727926158,0.5710102522298741,0.5878147042038577,0.5655291554902907,0.51519145693805,0.5182802150167908,0.5357010821278148,0.5043611372255858,0.5435951324268127,0.550188902126552,0.5525373896239191,0.5513499830478406,0.5533174349471858,0.545616013914542,0.5548623313822051,0.5613106268376697,0.544284571737357,0.5534968456419779,0.546430446703058,0.552955045548868,0.20920588571781693,0.20028326593564366,0.19731973825235896,0.26465361154556116,0.3812289283957068,0.654069579773687,0.630694852548069,0.42640515780658084,0.5082196845776811,0.5314379272938747,0.5442421086071585,0.5499761000066162,0.5334732556139521,0.09572662000217236,0.09516279819476045,0.09567458264674834,0.09044721747956858,0.1470723313500958,2.6895580981834812,5.997364467024233,5.940221658239858,6.226964596607007,6.598389356395675,0.600486570617065,0.6305920261108906,0.6499324918343872,0.6864997168824204
