ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_245_2100,evspsbl_370_2050,evspsbl_370_2100,evspsbl_585_2050,evspsbl_585_2100,npp_245_2050,npp_245_2100,npp_370_2050,npp_370_2100,npp_585_2050,npp_585_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,ts_trend_245_2050,ts_trend_245_2100,ts_trend_370_2050,ts_trend_370_2100,ts_trend_585_2050,ts_trend_585_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,hzd.mn.ssp245.2100,hzd.mn.ssp370.2100,hzd.mn.ssp585.2100,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,hzd.sd.ssp245.2100,hzd.sd.ssp370.2100,hzd.sd.ssp585.2100,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,wgts.ssp245.2100,wgts.ssp370.2100,wgts.ssp585.2100,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050,imp.ssp245.2100,imp.ssp370.2100,imp.ssp585.2100
A137,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,0.62638600434387,0.619602624294408,0.4989035995087068,0.5638230421871389,0.7588478936020467,0.8053126373237072,0.4883328718205889,0.3402633616436994,0.49554045436366706,0.4721372274499762,0.5136062454959499,0.47390110298929206,0.38255499227099105,0.21623126299245093,0.4536105379037569,0.6031435512342953,0.45066250852204465,0.5605973002557322,0.37275288518903366,0.6599283963859711,0.5207170879452478,0.5674257813770681,0.6896761178113174,0.7653116777842686,0.49158829546086497,0.34420998127501784,0.4961547559204136,0.5876850513128482,0.5607609302342578,0.698571984821043,0.399944528769259,0.25592272023518114,0.45226512867228635,0.5645195246182372,0.5202728562256125,0.6434884874548367,0.40069755045384103,0.39543272454807016,0.40266293168128897,0.39374824213854837,0.3988684267403479,0.391501054686268,0.6967954059695567,0.6583087474880503,0.6191751915633256,0.6215411662193888,0.6361107205535883,0.6460084092524679,0.5074450229351656,0.6280174261442001,0.5475154942798712,0.7462876329282366,0.5510428898878709,0.8191636606567242,0.4936090550544452,0.6285497248097678,0.5083238053315764,0.7261607547460875,0.528162252089633,0.7791412644566549,0.4860106612267616,0.49948689871701407,0.560801084116267,0.4746466969816817,0.5846471974211825,0.6582997579680995,0.7064876395478639,0.1069294788300906,0.05859207356912132,0.10795366965499621,0.18019994632789735,0.10440438272364636,0.14539856642838514,0.22084076445896494,3.1990816608459007,4.545151314157488,8.524820309145865,5.194831133656719,2.6340002128413516,5.599833859165827,4.527553291196578,0.6446821218978939,0.8208561391673626,0.7844146939010893,0.4844155665540012,0.8409491976147219,0.8718198763017543
A138,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,0.62638600434387,0.619602624294408,0.4989035995087068,0.5638230421871389,0.7588478936020467,0.8053126373237072,0.4883328718205889,0.3402633616436994,0.49554045436366706,0.4721372274499762,0.5136062454959499,0.47390110298929206,0.38255499227099105,0.21623126299245093,0.4536105379037569,0.6031435512342953,0.45066250852204465,0.5605973002557322,0.37275288518903366,0.6599283963859711,0.5207170879452478,0.5674257813770681,0.6896761178113174,0.7653116777842686,0.49158829546086497,0.34420998127501784,0.4961547559204136,0.5876850513128482,0.5607609302342578,0.698571984821043,0.399944528769259,0.25592272023518114,0.45226512867228635,0.5645195246182372,0.5202728562256125,0.6434884874548367,0.40069755045384103,0.39543272454807016,0.40266293168128897,0.39374824213854837,0.3988684267403479,0.391501054686268,0.6967954059695567,0.6583087474880503,0.6191751915633256,0.6215411662193888,0.6361107205535883,0.6460084092524679,0.5074450229351656,0.6280174261442001,0.5475154942798712,0.7462876329282366,0.5510428898878709,0.8191636606567242,0.4936090550544452,0.6285497248097678,0.5083238053315764,0.7261607547460875,0.528162252089633,0.7791412644566549,0.4860106612267616,0.49948689871701407,0.560801084116267,0.4746466969816817,0.5846471974211825,0.6582997579680995,0.7064876395478639,0.1069294788300906,0.05859207356912132,0.10795366965499621,0.18019994632789735,0.10440438272364636,0.14539856642838514,0.22084076445896494,3.1990816608459007,4.545151314157488,8.524820309145865,5.194831133656719,2.6340002128413516,5.599833859165827,4.527553291196578,0.6446821218978939,0.8208561391673626,0.7844146939010893,0.4844155665540012,0.8409491976147219,0.8718198763017543
A139,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,0.62638600434387,0.619602624294408,0.4989035995087068,0.5638230421871389,0.7588478936020467,0.8053126373237072,0.4883328718205889,0.3402633616436994,0.49554045436366706,0.4721372274499762,0.5136062454959499,0.47390110298929206,0.38255499227099105,0.21623126299245093,0.4536105379037569,0.6031435512342953,0.45066250852204465,0.5605973002557322,0.37275288518903366,0.6599283963859711,0.5207170879452478,0.5674257813770681,0.6896761178113174,0.7653116777842686,0.49158829546086497,0.34420998127501784,0.4961547559204136,0.5876850513128482,0.5607609302342578,0.698571984821043,0.399944528769259,0.25592272023518114,0.45226512867228635,0.5645195246182372,0.5202728562256125,0.6434884874548367,0.40069755045384103,0.39543272454807016,0.40266293168128897,0.39374824213854837,0.3988684267403479,0.391501054686268,0.6967954059695567,0.6583087474880503,0.6191751915633256,0.6215411662193888,0.6361107205535883,0.6460084092524679,0.5074450229351656,0.6280174261442001,0.5475154942798712,0.7462876329282366,0.5510428898878709,0.8191636606567242,0.4936090550544452,0.6285497248097678,0.5083238053315764,0.7261607547460875,0.528162252089633,0.7791412644566549,0.4860106612267616,0.49948689871701407,0.560801084116267,0.4746466969816817,0.5846471974211825,0.6582997579680995,0.7064876395478639,0.1069294788300906,0.05859207356912132,0.10795366965499621,0.18019994632789735,0.10440438272364636,0.14539856642838514,0.22084076445896494,3.1990816608459007,4.545151314157488,8.524820309145865,5.194831133656719,2.6340002128413516,5.599833859165827,4.527553291196578,0.6446821218978939,0.8208561391673626,0.7844146939010893,0.4844155665540012,0.8409491976147219,0.8718198763017543
A140,NA,NA,NA,NA,173,0.900872,0.865443,0.62906,0.687666,0.632224,0.145165,NA,NA,NA,NA,0.4316888849447501,0.900872,0.865443,0.62906,0.62638600434387,0.619602624294408,0.4989035995087068,0.5638230421871389,0.7588478936020467,0.8053126373237072,0.4883328718205889,0.3402633616436994,0.49554045436366706,0.4721372274499762,0.5136062454959499,0.47390110298929206,0.38255499227099105,0.21623126299245093,0.4536105379037569,0.6031435512342953,0.45066250852204465,0.5605973002557322,0.37275288518903366,0.6599283963859711,0.5207170879452478,0.5674257813770681,0.6896761178113174,0.7653116777842686,0.49158829546086497,0.34420998127501784,0.4961547559204136,0.5876850513128482,0.5607609302342578,0.698571984821043,0.399944528769259,0.25592272023518114,0.45226512867228635,0.5645195246182372,0.5202728562256125,0.6434884874548367,0.40069755045384103,0.39543272454807016,0.40266293168128897,0.39374824213854837,0.3988684267403479,0.391501054686268,0.6967954059695567,0.6583087474880503,0.6191751915633256,0.6215411662193888,0.6361107205535883,0.6460084092524679,0.5074450229351656,0.6280174261442001,0.5475154942798712,0.7462876329282366,0.5510428898878709,0.8191636606567242,0.4936090550544452,0.6285497248097678,0.5083238053315764,0.7261607547460875,0.528162252089633,0.7791412644566549,0.4860106612267616,0.49948689871701407,0.560801084116267,0.4746466969816817,0.5846471974211825,0.6582997579680995,0.7067659712361876,0.1069294788300906,0.05859207356912132,0.10795366965499621,0.18019994632789735,0.10440438272364636,0.14539856642838514,0.21951550532032726,3.219663094890913,4.545151314157488,8.524820309145865,5.194831133656719,2.6340002128413516,5.599833859165827,4.527553291196578,0.6473648624483694,0.8250143017360597,0.787840537433231,0.48600931214794463,0.8447170508422511,0.875442528931843
A141,NA,NA,NA,NA,174,0.900872,0.86499,0.62906,0.687294,0.631369,0.145949,NA,NA,NA,NA,0.43411187296818077,0.900872,0.86499,0.62906,0.62638600434387,0.619602624294408,0.4989035995087068,0.5638230421871389,0.7588478936020467,0.8053126373237072,0.4883328718205889,0.3402633616436994,0.49554045436366706,0.4721372274499762,0.5136062454959499,0.47390110298929206,0.38255499227099105,0.21623126299245093,0.4536105379037569,0.6031435512342953,0.45066250852204465,0.5605973002557322,0.37275288518903366,0.6599283963859711,0.5207170879452478,0.5674257813770681,0.6896761178113174,0.7653116777842686,0.49158829546086497,0.34420998127501784,0.4961547559204136,0.5876850513128482,0.5607609302342578,0.698571984821043,0.399944528769259,0.25592272023518114,0.45226512867228635,0.5645195246182372,0.5202728562256125,0.6434884874548367,0.40069755045384103,0.39543272454807016,0.40266293168128897,0.39374824213854837,0.3988684267403479,0.391501054686268,0.6967954059695567,0.6583087474880503,0.6191751915633256,0.6215411662193888,0.6361107205535883,0.6460084092524679,0.5074450229351656,0.6280174261442001,0.5475154942798712,0.7462876329282366,0.5510428898878709,0.8191636606567242,0.4936090550544452,0.6285497248097678,0.5083238053315764,0.7261607547460875,0.528162252089633,0.7791412644566549,0.4860106612267616,0.49948689871701407,0.560801084116267,0.4746466969816817,0.5846471974211825,0.6582997579680995,0.7072584682420452,0.1069294788300906,0.05859207356912132,0.10795366965499621,0.18019994632789735,0.10440438272364636,0.14539856642838514,0.21839528286695034,3.2384328954252988,4.545151314157488,8.524820309145865,5.194831133656719,2.6340002128413516,5.599833859165827,4.527553291196578,0.6500212766020236,0.8290771541018037,0.7912206988974391,0.4876197064161154,0.8484279508184813,0.8790300279713685
AA129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40156518584348666,0.5058348058150499,0.3871619772076797,0.42634286342263933,0.47012770524396713,0.6378616807345477,0.640828658840081,0.6117197701775284,0.6209686172689416,0.6098888835549297,0.7481875770575754,0.8570706369517878,0.39103917477963585,0.30863597729979897,0.46173467259136514,0.6647773242872582,0.4949553096457408,0.5655845373280585,0.6057980205383773,0.5976891285985043,0.5789334783050778,0.7050838146678696,0.6774575374186523,0.6877621517746191,0.48043740757048536,0.35574005380255236,0.48173800610555434,0.6150570219134103,0.551106225826942,0.7227429469477332,0.45848072604201245,0.407744685028802,0.5163735485447233,0.6225799563237118,0.5586738606745941,0.7385154419294298,0.7132278545371787,0.7081081517092773,0.7150129775731954,0.7023748202040274,0.716471898293383,0.6975999251520755,0.6630835528308159,0.7114560648074849,0.7114560648074849,0.8022417967136123,0.7689165308247529,0.9341494883692865,0.47413988275010394,0.5960136686200935,0.530894853418809,0.6728211125793961,0.5413035817727069,0.7538208965635832,0.35429322283516135,0.5599764086084714,0.37361399565612996,0.6636424650054434,0.41756926695467644,0.7479951018213145,0.5182893686567338,0.5377888191478961,0.5944769493712991,0.5362918714467563,0.6484810058672298,0.7343102807572436,NA,0.1270655627687269,0.11983987555077556,0.12404236616129499,0.13970928038338207,0.0962989649913827,0.10382160258142253,NA,NA,4.078912943549281,4.487561562261783,4.792531517806488,3.8386273980876244,6.734039207225737,7.072808187307238,NA,NA,NA,NA,NA,NA
AA130,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,0.32955654817614416,0.5376542113065044,0.38183953058703973,0.37145027519023216,0.45783293639999684,0.5367391444222643,0.620831396879431,0.6024969562263957,0.6107376308292166,0.5989864179730503,0.7227429469477332,0.817857624039894,0.39049147468158896,0.3066388946193764,0.46155116762030596,0.6651135906464789,0.4951893795386503,0.5653178596775885,0.6076210862363216,0.6004133803819971,0.5833689233826204,0.7154961679927502,0.6793165722075903,0.6923566916274614,0.4815607661124975,0.3569500077290489,0.4828892257474821,0.6165558242362968,0.551708546417913,0.7245001576445637,0.4478786774194824,0.4063352492898694,0.5133122494077611,0.619874726811054,0.5575391151655704,0.7330626642925984,0.7092170655616713,0.7042404764095991,0.7111391951825226,0.697793422760019,0.7113684924311243,0.6932693007586299,0.6331495314336782,0.706419372247983,0.706419372247983,0.8022417967136123,0.7645949030144055,0.9261476174013893,0.4746469911872444,0.5967130000744084,0.5317685992482322,0.6737743968731236,0.5417659242742452,0.7590757538693197,0.33582509631950064,0.543032475016678,0.3557953323606805,0.6788482591696186,0.38887883559367,0.7648091115280439,0.503077863400756,0.5338821226613845,0.58709376519909,0.536089402330186,0.6440134878366236,0.7213135925261753,0.7004499533046731,0.1330347780519287,0.12139758773872743,0.12582207406120413,0.13789492523096525,0.11216920998339279,0.11292630026551127,0.2281070653725507,3.070706960175385,3.7815514917789765,4.397798445636404,4.66606332457616,3.887665927025743,5.74144623049385,6.387472101983589,0.5971548651929629,0.676180254145296,0.7615771032228804,0.6442196182985727,0.9025051955351958,1.047758239344684
AA131,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,0.3448839874642981,0.6061691606366191,0.3379380509173655,0.41123890811693037,0.6522241360751997,0.4249577027662621,0.6002542125631755,0.5857343632684479,0.5919899279760301,0.5812463095349119,0.6916336049179741,0.7703038710260781,0.3935415545888585,0.2809049363202537,0.4768498679955591,0.6943776087674157,0.5072985945480891,0.5736571365773607,0.6085408757841743,0.6058392142277906,0.5858808844061946,0.7224763145308499,0.6808156850286853,0.6960680050158715,0.4920277525372456,0.3668071889005719,0.488450303296361,0.6233230945926599,0.5558936850532756,0.7464751892870634,0.438288037755316,0.4059906903940475,0.50879264763527,0.6174004136053679,0.5543214665430645,0.7285807037888512,0.7048721426990215,0.6999524786529953,0.7077785142739648,0.6930859901696107,0.7073411370111378,0.687332986712786,0.6570058410126851,0.704941448608458,0.6948113830431869,0.7937026555118462,0.762875796800116,0.9226198840401986,0.46907504168009884,0.5949314956030489,0.5205986018936036,0.6718051400465502,0.5364040938222318,0.76163830907999,0.31594425360901285,0.5372574479995744,0.33923645980791833,0.6782275538688487,0.3424119471296545,0.7643106079196377,0.5024433699693887,0.5252326641245454,0.5991220146929428,0.5388528424611807,0.6486883988744991,0.7075944396214099,0.7004499533046731,0.1343688658694724,0.12643580456238185,0.12415030292873296,0.14208432426892903,0.10246539757274319,0.1319192199882926,0.2281070653725507,3.070706960175385,3.7392841468013023,4.154144990356763,4.825779724733026,3.792486224175378,6.330804488549183,5.363846448487238,0.5933958810130618,0.6495609515941693,0.7875249994674444,0.6404473759006744,0.9395347278830655,0.9678635615995362
AA132,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,0.628986906631097,0.6511595470002111,0.45826491550688686,0.5230015441152758,0.65157230412716,0.7105689070547532,0.551106225826942,0.3138575702094792,0.5632936596133353,0.5169042946994975,0.5858442435432167,0.5070643289795784,0.3974627085449316,0.3325688415038112,0.4644780296926455,0.6594178385698327,0.4911780458561415,0.5721776739452129,0.4235986296656624,0.647627446552099,0.42675672229936984,0.7270055799947601,0.6035084236884254,0.6176681932405947,0.47048814874639017,0.3452498153125264,0.4696768160636755,0.6072464124939423,0.5461709317696859,0.7055088547791745,0.4345155002022916,0.40262385038500326,0.5018858541582668,0.6147066584485366,0.5526619293271183,0.7199903202223384,0.5341564851235016,0.5302029101368039,0.5507263978233689,0.538448832379694,0.5309249583199013,0.5302931129722637,0.6027115761455538,0.5883421907446863,0.5279491116061498,0.4806026211440009,0.6082176240224628,0.5351397400362767,0.4666306779297031,0.5847118484513526,0.5080601311695849,0.6588464860288965,0.5329459908025697,0.7264412644832701,0.2975226597527238,0.5367391444222643,0.3028818469527299,0.6624547506380799,0.33695315276247284,0.7590757538693197,0.4807179518568797,0.4773973484886013,0.5439977604219155,0.4933083164718237,0.5988635018512516,0.6383928149582783,0.7004499533046731,0.10048142311448724,0.07488019939667699,0.08629364763347319,0.1323084094774028,0.08038671840463098,0.09608842817907708,0.2281070653725507,3.070706960175385,4.7841475265448405,6.375481800730716,6.304030196202988,3.728472879541922,7.449781677078037,6.643805368202351,0.6297558986004028,0.6930297485271575,0.7868134594879905,0.5818464395051229,0.9121178679920297,0.9390730387790311
AB129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3582013969373667,0.5374405246661678,0.3574957692674589,0.4299386662912363,0.5444274798051121,0.6082057583936072,0.636457394927154,0.6164672161847324,0.6075794101635836,0.616688841488947,0.7609289758070718,0.9044334079111709,0.390238010558258,0.3058081252936504,0.4614899816922613,0.6654510042093589,0.49530640838381407,0.5651180380120174,0.6055922167523706,0.6010915899530284,0.5815327983822786,0.7158605931179358,0.6809749400298336,0.6981817842514686,0.48209238107605146,0.35744131009412516,0.4833316279363529,0.6169552560360648,0.5519307431887011,0.725187455896184,0.4548885964766295,0.41312712397761553,0.5113148629087321,0.6227653516394329,0.5559580356755186,0.7390179331722102,0.7072321713581393,0.7031986565747758,0.7100027820150402,0.697310525433961,0.7104553513082783,0.6927205562794684,0.6693965147306387,0.724556121633045,0.706419372247983,0.7794439812541551,0.7493696249738662,0.8914403687443797,0.47500470938764977,0.5973761496149966,0.532130581786645,0.6745143271259962,0.5420435920380827,0.7618765552259182,0.33819907028462526,0.5416734122202479,0.34931025268071314,0.6728941009969449,0.35814727139034663,0.7559580110413721,0.5117302462488883,0.5300607439081049,0.5949542422600625,0.5398180230212385,0.6491822647594033,0.7342139868927797,NA,0.13389434775919348,0.12553471473091113,0.12774246562298508,0.14057242489738067,0.09192937602816095,0.10673378141966162,NA,NA,3.821895806753738,4.22242361441066,4.657450749510277,3.8401416452430923,7.061749930300166,6.878927900117748,NA,NA,NA,NA,NA,NA
