ID,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050
DP113,0.27804765766429684,0.4617244990610463,0.5674387644128807,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DP133,0.24833371136855184,0.44782367141213286,0.5488523381430067,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DP134,0.27743173402074184,0.4520729077568099,0.5530457892848423,11,0.615661472936478,0.615661472936478,0.615661472936478
DP135,0.3026456264440161,0.456535397408955,0.5591294983551859,11,0.615661472936478,0.615661472936478,0.615661472936478
DP82,0.3432116784956852,0.4720035506364307,0.5900579193483296,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DP83,0.3564664285172933,0.4762923520246764,0.5948534883576504,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DP84,0.3690442593242372,0.4824942265526752,0.6028257860433194,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DP85,0.3799115057473823,0.48878289510381856,0.6117949585142055,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DP86,0.38785347769479883,0.49535654051584044,0.619718375498481,14,0.7065191553015989,0.7065191553015989,0.7065191553015989
DP87,0.3950817495668808,0.5021666071403932,0.6297611030418038,14,0.7065191553015989,0.7065191553015989,0.7065191553015989
DP88,0.4017726454603197,0.5102855918015665,0.6395236541066849,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DP89,0.40838278762334007,0.5178179867157606,0.6507922403772096,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DQ111,0.3168591377575714,0.47314144566394606,0.5798317174492232,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DQ112,0.2942630606295779,0.4663456827979187,0.5736282559486671,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DQ113,0.26977886026880554,0.46030356163072866,0.5651290135629582,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DQ133,0.24833371136855184,0.4477568685448546,0.5494483737126733,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DQ134,0.27743173402074184,0.45200689532766225,0.5531797508160894,11,0.615661472936478,0.615661472936478,0.615661472936478
DQ135,0.3026456264440161,0.45640486041100475,0.5598128489692097,11,0.615661472936478,0.615661472936478,0.615661472936478
DQ82,0.3574536187837416,0.47842736781024164,0.5971764659796018,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DQ83,0.37201168496352993,0.48492635224827496,0.6059318003326617,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DQ84,0.38357238424815626,0.4923201364565124,0.6180640579479937,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DQ85,0.3931337369728013,0.5004333032280663,0.6320600811897924,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DQ86,0.4008786715705031,0.5076178618435856,0.6413502660589449,14,0.7065191553015989,0.7065191553015989,0.7065191553015989
DQ87,0.40728383525906386,0.5151359442696627,0.6520852004806866,14,0.7065191553015989,0.7065191553015989,0.7065191553015989
DR111,0.3109920492555605,0.47156049238682457,0.578136671951685,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DR112,0.28883958112806596,0.464745936070231,0.5717625473691229,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DR113,0.26052253948604276,0.459656205928879,0.5632535957865024,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DR132,0.22287385619754943,0.4447369074658558,0.5456894867113102,9,0.5248183181910514,0.5248183181910514,0.5248183181910514
DR133,0.2520546305956003,0.44822421597756884,0.5495809591636807,9,0.5248183181910514,0.5248183181910514,0.5248183181910514
DR134,0.279987615484805,0.45227087505963737,0.5536490378021417,11,0.615661472936478,0.615661472936478,0.615661472936478
DR82,0.37279240913251993,0.48598490383988396,0.6075491625573777,4,0.323185980556638,0.323185980556638,0.323185980556638
DR83,0.38420408575997117,0.49424148786097566,0.6198108191292201,4,0.323185980556638,0.323185980556638,0.323185980556638
DR84,0.3939834626365995,0.5022285158531,0.6362581277236122,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
DR85,0.40482781339365437,0.5117141316600876,0.6527964828829373,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
DS111,0.30704443927944686,0.47086362471858495,0.5776232831267498,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DS112,0.28441816246385143,0.46404045949392336,0.5704079459227914,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DS113,0.25641064840947275,0.45939699952801755,0.5624931101421013,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DS132,0.22894216598608044,0.4452084952180466,0.5464119887218075,9,0.5248183181910514,0.5248183181910514,0.5248183181910514
DS133,0.257380048975312,0.44915702352645365,0.5503775016677723,9,0.5248183181910514,0.5248183181910514,0.5248183181910514
DS134,0.2846448796884874,0.45273239310837693,0.5550608996725315,11,0.615661472936478,0.615661472936478,0.615661472936478
DS81,0.37434099397274095,0.48722914025883823,0.6099617652234273,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DS82,0.384833213655429,0.4951707229203427,0.6213912221269163,4,0.323185980556638,0.323185980556638,0.323185980556638
DS83,0.39381386072009394,0.5033429672305728,0.6365705881252727,4,0.323185980556638,0.323185980556638,0.323185980556638
DS84,0.40402869064408636,0.5128330444147459,0.652440302555233,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
DT111,0.3034696014718599,0.4699755537667738,0.5764540896258386,9,0.5248183181910514,0.5248183181910514,0.5248183181910514
DT112,0.2809404768670491,0.463205420469002,0.569343610930694,4,0.323185980556638,0.323185980556638,0.323185980556638
DT113,0.2540975571166878,0.4588781276136938,0.5614593261345397,4,0.323185980556638,0.323185980556638,0.323185980556638
DT114,0.23581878418883376,0.45516266486576135,0.5573599358888102,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DT79,0.3660109015945602,0.4809321709260238,0.6022444015712856,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DT80,0.37710569274418276,0.4881615866267597,0.6124107046502159,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
DT81,0.3866168476899903,0.4964712703875047,0.6245085387907603,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
DT82,0.3952500885230706,0.504705397668693,0.6383554731218949,0,0,0,0
DT83,0.4046682614327468,0.5141395847853699,0.6544731854616475,0,0,0,0
