"ISO3","Villages","Sensitivity","AdaptiveCapacity","imp.ssp245.2050","imp.ssp370.2050","imp.ssp585.2050","risk245","risk370","risk585","TEV","ld_ssp245","ld_ssp370","ld_ssp585"
"KEN","Faza",0.475739371,0.439938475,0.4628229169007271,0.5097329325777513,0.6264547003343434,0.12956106537139553,0.14269289481580433,0.17536758751219123,4687977.557117478,607379.3667373327,668941.0884566156,822119.3145029878
"KEN","Gazi",0.452323639,0.472397894,0.4734249573061719,0.5299935914945401,0.6503814273562526,0.06860953824790622,0.07680755952051238,0.09425436645721365,4660566.960977591,319759.3471661201,357966.7742546198,439278.78623836435
"KEN","Ndau",0.45960294,0.431459775,0.472356969910981,0.5199495415414185,0.6396243379490352,0.10397252005953046,0.114448325274097,0.1407904583698701,6058048.413171701,629870.5601601014,693333.4953169021,852915.4129173079
"KEN","Kiwayu",0.414274669,0.446307514,0.472356969910981,0.5199495415414185,0.6396243379490352,0.0047235696991098095,0.005199495415414185,0.006396243379490352,6058048.413171701,28615.61392019811,31498.794950643438,38748.75205538153
"KEN","Matondoni",0.505140874,0.439983376,0.4569374922489713,0.5024113370608592,0.6178535563283623,0.18551196579544907,0.20397388342407302,0.2508422481246761,5107784.377600394,947555.1207479334,1041854.6151919642,1281248.1162133822
"KEN","Mida",0.548877292,0.497217071,0.4742027816981731,0.5267242594016557,0.6423749229809429,0.2468621082623218,0.2742039190136276,0.334409737568465,4034497.652864711,995964.5963655715,1106275.0676667858,1349175.301315076
"KEN","Uyombo",0.49648391,0.488835413,0.4578795109103014,0.507214289826549,0.6231763063913921,0.14297086863375613,0.15837543692616005,0.1945840678907491,4147483.9112862204,592969.3774411193,656859.5765941744,807034.2909695075
"KEN","Vanga",0.556201287,0.459482213,0.482955922458002,0.5418975953616478,0.6631027419398385,0.28941831307575727,0.32473996200557176,0.3973738969622558,4406306.052305599,1275265.664553786,1430903.660010641,1750951.007213049
"MDG","Analanabe",0.495897792,0.480485897,0.5128012350347814,0.5462310773271525,0.6811413481189749,0.18959043002853368,0.20194995208695232,0.2518283347959033,6686619.895037641,1267719.141337535,1350362.5674265136,1683880.3535804867
"MDG","Andranoboka",0.568107036,0.453409504,0.5158780400599156,0.5536472577011241,0.6864860143933647,0.37013593020970764,0.3972348633282757,0.49254498114308504,7193061.832810825,2662410.632543379,2857334.934068444,3542906.5048028524
"MDG","Antafiatambalaka",0.532972076,0.479947931,0.49777461119372185,0.539400753830815,0.6736123813727638,0.2636565018105488,0.285704639471173,0.35679257249200613,7053125.279172371,1859602.3379381376,2015110.615030959,2516502.7124643093
"MDG","Besakoa",0.560926564,0.471870778,0.5080158741568047,0.5447659946897525,0.6800815243288073,0.33567130360379344,0.3599539323452006,0.44936361921211027,5468336.148171955,1835563.5234006266,1968349.0999199029,2457271.32261096
"MDG","Maromanjo",0.585500706,0.442278089,0.49556707257390503,0.5459798584739276,0.6885489142769502,0.40122376484054323,0.4420392444684615,0.5574667950156572,5765416.513258514,2313222.1193234185,2548540.359566785,3214028.2655765694
"MDG","Lagnamena",0.540061607,0.459048069,0.5163850340271041,0.5674754174745803,0.7178524112930862,0.3034408854714954,0.33346288489211895,0.42182820369884866,6142210.641586075,1863797.8358353204,2048199.2801583654,2590957.6816802067
"MDG","Tsinjoarivo",0.56049086,0.410881357,0.5080158741568047,0.5447659946897525,0.6800815243288073,0.37839561733051125,0.4057689441367189,0.5065587146476516,5468336.148171955,2069194.432558277,2218880.9850283866,2770033.3304792754
"MOZ","Mahilene",0.449914651,0.388675526,0.354210990752185,0.4013325239484398,0.4714621977980708,0.09691615832171997,0.10980914609127648,0.1289974229977279,2243058.0714076324,217388.57117335396,246308.29145441757,289348.7108458381
"MOZ","Cumbane",0.466328474,0.424102395,0.354210990752185,0.4013325239484398,0.4714621977980708,0.10792868442774237,0.12228669481948683,0.14365532435259126,2243058.0714076324,242090.30674205476,274296.1578406118,322227.23478976125
"MOZ","Farol",0.527390275,0.492508496,0.35931364895622875,0.4023362034445307,0.4741587837611147,0.17476926163446643,0.19569532470886164,0.230629648431534,2473883.9578331034,432358.872679843,484127.52442019293,570550.9874554605
"MOZ","Gazene",0.569040764,0.488698321,0.34968048411101704,0.3904121179637256,0.4611949288617569,0.23393390360173008,0.26118309404901674,0.30853632081938037,2326868.195795855,544333.3602092392,607738.6348222147,717923.3521624827
"TZA","Kwale",0.6114883,0.482412765,0.49323679749157984,0.5560992713841416,0.6826462163799504,0.3929141396528636,0.4429906038817275,0.5437983381618838,4763903.086466751,1871804.882608705,2110364.3051079316,2590602.5815848885
"TZA","Kangagani",0.614658186,0.49559337999999997,0.516320114825186,0.5775854927330729,0.7099684539158274,0.4086791033184846,0.45717204207672096,0.5619561640145843,4758647.898627896,1944759.9562196396,2175520.7773398124,2674151.5190089946
"TZA","Boma Subutuni",0.62490868,0.458607076,0.4813433737734802,0.5422222051281588,0.6644657746166079,0.4269924271152975,0.48099711768845627,0.5894375393897309,4848919.818263177,2070452.042087661,2332316.4564870214,2858135.366375148
"TZA","Mtambwe",0.655118358,0.468497928,0.5146503289593126,0.5770705551137078,0.7099810477576937,0.5146503289593126,0.5770705551137078,0.7099810477576937,5076361.523461299,2612551.127965755,2929418.762301679,3604120.4732238953
"TZA","Mjini Kiuyu",0.571422902,0.401929956,0.516320114825186,0.5775854927330729,0.7099684539158274,0.38140788961761884,0.42666488779283923,0.5244567506241777,4758647.898627896,1814985.8524489824,2030347.9717137015,2495705.0142789576
