ID,Country,Villages,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_245_2100,evspsbl_370_2050,evspsbl_370_2100,evspsbl_585_2050,evspsbl_585_2100,npp_245_2050,npp_245_2100,npp_370_2050,npp_370_2100,npp_585_2050,npp_585_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,ts_trend_245_2050,ts_trend_245_2100,ts_trend_370_2050,ts_trend_370_2100,ts_trend_585_2050,ts_trend_585_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,hzd.mn.ssp245.2100,hzd.mn.ssp370.2100,hzd.mn.ssp585.2100,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,hzd.sd.ssp245.2100,hzd.sd.ssp370.2100,hzd.sd.ssp585.2100,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,wgts.ssp245.2100,wgts.ssp370.2100,wgts.ssp585.2100,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050,imp.ssp245.2100,imp.ssp370.2100,imp.ssp585.2100
BF100,Kenya,Faza,5052746.453501431,5843741.970800561,6545059.324910167,1414136.3927422327,146.23833252729798,0.646235974208442,0.6236587174403901,0.4265718205527782,0.49881885983166163,0.45888764728019277,0.09731345124250002,0.15690259428637118,0.15302407556671369,0.18355273823307144,0.18715898812450907,0.4069689875480613,0.646235974208442,0.6236587174403901,0.4265718205527782,0.5007495308126656,0.5337366552354369,0.43777019958566865,0.46118931004681296,0.5118697025928621,0.5499707695822288,0.5667630720059652,0.45642199595463473,0.5640922305292191,0.5630104972391986,0.639408209962767,0.5832171819172879,0.402885535890366,0.2984181949822512,0.4812618218841619,0.6597994975774943,0.5027341660446173,0.5966453502136915,0.44789093506824906,0.5654411131691632,0.4375704502807498,0.6442203913624577,0.5740818540364682,0.5807303908776658,0.45859576114069306,0.33801324171718744,0.462821376937704,0.5975258353034113,0.5359299341175777,0.7107638954453336,0.4253607706392944,0.3107463071590606,0.47981257471271577,0.5898049108649228,0.5231948845586147,0.6788400875768473,0.5507934556655892,0.5526393631619589,0.5564918892770366,0.5554104218445063,0.5514968639867299,0.555926931063421,0.6108563129081047,0.586658365478157,0.5744440144540933,0.5493774670331903,0.6019274415304731,0.5780068595053127,0.4335993130481514,0.5555234892112476,0.4691598441813452,0.6324791864549016,0.48818699354200856,0.7034823291130079,0.4237258702423364,0.546595931612377,0.40883844768090394,0.6227731216677366,0.43692952470830104,0.6910085302165415,0.4821220557421415,0.4872262849523598,0.536575957508042,0.4744194657681474,0.5875590639394632,0.6228592325511337,0.5258588749374179,0.10546330760134306,0.09083222448039657,0.0990175079200316,0.1445796602501997,0.10062783005126463,0.12313833765965204,0.13891419865856636,2.7888913042763757,4.8748975251245055,6.128550786455858,6.164671121795989,3.380525032532693,6.207337328183266,5.28364323460674,0.5491653384425642,0.6054914727620232,0.680686192697009,0.4456866205868163,0.7391421017328719,0.7373779748221218
BF101,Kenya,Kiwayu,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698517,0.18403797286824097,0.41447391126231803,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5010428689809916,0.5347218255277614,0.43943680932499884,0.46287462937134954,0.5151161369589115,0.5526038154762902,0.561751277559476,0.45438271460109597,0.5617347049604112,0.5612568578930358,0.6356329580212231,0.580207233003346,0.40300644527619955,0.29882327821179244,0.4812636433240923,0.6591124817310766,0.5026010856158594,0.596649195989183,0.44693228975232796,0.5659232217863391,0.43651669683177,0.6432901060917378,0.5722899088482598,0.5816347362794544,0.4572024625368823,0.33674124298189556,0.4619487783374842,0.5968166911252378,0.5349736442701624,0.7091585620582415,0.42485124500779886,0.3116678445903303,0.479210905332335,0.5899527087689801,0.5236638114184066,0.6788419180403353,0.5504132713796857,0.5523948270128708,0.5560039331437608,0.5551091928211154,0.5512652674725269,0.555834131830757,0.6107466307094161,0.5862910303701284,0.5762518504653533,0.5513550352194585,0.6029390967647997,0.5810243834344376,0.4330039952525585,0.5549444927644182,0.46789324301950036,0.6319242862800822,0.4875115965995274,0.7029506599916299,0.42609183581351306,0.5487489929298974,0.4104513977412643,0.6243462712808819,0.43946254628282333,0.692239942983325,0.48150423222688493,0.487071196248097,0.5365456052252501,0.474463947077653,0.5876038260582955,0.6231144579087,0.536492973103923,0.10504897832911263,0.09092715903811145,0.09788836006858256,0.14466132795462952,0.10081301302633634,0.12332747580398419,0.14198119654042085,2.840605048242175,4.888580877387469,6.149608967183134,6.215908532780183,3.380864115071126,6.201331570826925,5.2746739316794224,0.5595924483657243,0.6162524518278046,0.694308627428684,0.4546517246064905,0.7526390138297023,0.7516211970551362
BF101,Kenya,Ndau,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698517,0.18403797286824097,0.41447391126231803,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5010428689809916,0.5347218255277614,0.43943680932499884,0.46287462937134954,0.5151161369589115,0.5526038154762902,0.561751277559476,0.45438271460109597,0.5617347049604112,0.5612568578930358,0.6356329580212231,0.580207233003346,0.40300644527619955,0.29882327821179244,0.4812636433240923,0.6591124817310766,0.5026010856158594,0.596649195989183,0.44693228975232796,0.5659232217863391,0.43651669683177,0.6432901060917378,0.5722899088482598,0.5816347362794544,0.4572024625368823,0.33674124298189556,0.4619487783374842,0.5968166911252378,0.5349736442701624,0.7091585620582415,0.42485124500779886,0.3116678445903303,0.479210905332335,0.5899527087689801,0.5236638114184066,0.6788419180403353,0.5504132713796857,0.5523948270128708,0.5560039331437608,0.5551091928211154,0.5512652674725269,0.555834131830757,0.6107466307094161,0.5862910303701284,0.5762518504653533,0.5513550352194585,0.6029390967647997,0.5810243834344376,0.4330039952525585,0.5549444927644182,0.46789324301950036,0.6319242862800822,0.4875115965995274,0.7029506599916299,0.42609183581351306,0.5487489929298974,0.4104513977412643,0.6243462712808819,0.43946254628282333,0.692239942983325,0.48150423222688493,0.487071196248097,0.5365456052252501,0.474463947077653,0.5876038260582955,0.6231144579087,0.536492973103923,0.10504897832911263,0.09092715903811145,0.09788836006858256,0.14466132795462952,0.10081301302633634,0.12332747580398419,0.14198119654042085,2.840605048242175,4.888580877387469,6.149608967183134,6.215908532780183,3.380864115071126,6.201331570826925,5.2746739316794224,0.5595924483657243,0.6162524518278046,0.694308627428684,0.4546517246064905,0.7526390138297023,0.7516211970551362
BG99,Kenya,Matondoni,5573811.292188116,8274565.227132752,6808402.824797056,1598336.751420018,144.45233532455828,0.6358074193872516,0.613543287319198,0.4188924143856959,0.49073793616737243,0.4515140881086452,0.09551826433028418,0.16104999007680013,0.15457039959477553,0.1772356747643838,0.20567051814054893,0.4034795305348205,0.6358074193872516,0.613543287319198,0.4188924143856959,0.5021386983101529,0.533996554581641,0.4369943698641154,0.4604723265482278,0.5122986837022111,0.5528910701586224,0.5715993970783018,0.4547896608457937,0.564999796190888,0.5632141322911195,0.6416913075602639,0.583343001879787,0.4026202242883158,0.298767604829235,0.4802546145888691,0.6591635600863972,0.5016588944012723,0.5973937852461634,0.4470814589549834,0.5634244866171533,0.4371561127081056,0.6443261600408781,0.5745057188123087,0.5778752226194812,0.45955864121500406,0.3388536080539573,0.4635695454601725,0.5969809548056193,0.5365250230482841,0.711811953940192,0.42535502516627816,0.30977402854603747,0.4797880381440958,0.5894487796847254,0.5226149206788551,0.6787578711498411,0.5477833114757976,0.5496929482340012,0.553628157366244,0.5525757942144325,0.548362387454803,0.5531441770145037,0.608033274564398,0.5829963292246294,0.5678985020708699,0.5406111404615659,0.5975012440877538,0.5670193193855418,0.43580472889921973,0.5563990595831463,0.47276323857542474,0.6334369573283288,0.490297287601452,0.7043654175613766,0.4222870961468524,0.5447741063549069,0.4099433852178448,0.6224439444715522,0.43629373340905603,0.6894511284944944,0.4822261856099304,0.48669957601866304,0.5361749200756261,0.4733468386870502,0.5862673749932846,0.6216052947450004,0.5179306629067415,0.10508968245817224,0.08970759245999291,0.09953873919247042,0.14374464260522282,0.10048380236404546,0.1225896475708358,0.13605262732156462,2.760328191559939,4.897298848867829,6.168093290425087,6.136566325312145,3.3913354026797164,6.19048935546092,5.295568931617107,0.5444074173990853,0.600875408941309,0.673755785026733,0.4400277483521135,0.7286611203296033,0.7289744478828377
BK95,Kenya,Uyombo,5420009.60805591,5638381.8457952645,5444013.645183466,2068292.8994417496,144.43626037468022,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.4848297791544817,0.446279252645515,0.09375709788478254,0.1668077604826714,0.14822242187731122,0.16800652607510885,0.2507281452464403,0.40863409720242655,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.4914153697249359,0.5224334548228056,0.43438351243946,0.45920470374038797,0.5078270792498989,0.5496980229338122,0.5648883487747288,0.45206394728455174,0.5600313165359109,0.5664260021379515,0.6428993286543476,0.5829256455799522,0.40293873020021087,0.3001419443311999,0.4788215894341694,0.6546289151376528,0.5024076406997279,0.5929077234297114,0.44146642590447455,0.5578853579756863,0.43200029951524377,0.6377429068534199,0.5694576430103142,0.567956247058485,0.4584077287071006,0.3379221415798623,0.46266687074197327,0.5982489406003438,0.5358217039297234,0.7085974670951879,0.4255265012131332,0.30725227513732367,0.47981478952459866,0.590436761640644,0.5225352410409676,0.6794230798048536,0.5394230303687968,0.5421681912994881,0.5461152439040808,0.5459364314213608,0.5397065586036014,0.5462327850150082,0.595957042299921,0.5671939405712133,0.5484125597158153,0.5090842525383299,0.5895555499963523,0.531704433384427,0.4361416141634028,0.5546694401666062,0.47076590036790494,0.6310602809295734,0.48941943651234615,0.7015811160834026,0.4244033577075891,0.5424243285458281,0.41594939885214893,0.6228844363300851,0.44020344831104846,0.6876513716682788,0.4780568149064294,0.4828961481031306,0.5339833630008328,0.4684155021714565,0.581565363132975,0.6148677892053118,0.5136945816127721,0.10134192561248064,0.08595586343054563,0.09837385247032122,0.14113172497703955,0.10003457086822432,0.12248152854265894,0.13233470550416407,2.784272206360613,5.016137635196299,6.377151490999827,6.224629406380001,3.4190566120754986,6.181468390404793,5.2669103122376875,0.5505082098153261,0.6102083570098785,0.6817033092143862,0.4393771665931888,0.7313761261999199,0.7272437918639764
BK96,Kenya,Mida,4529388.747228705,4718758.739717392,5595311.487823924,1936159.2526381323,149.61530573888456,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.5020454088301578,0.4621904743491806,0.09715524730816058,0.16065294503412497,0.1414225264884971,0.16960660412078957,0.23408096210398796,0.42233827644318733,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.4982900753062078,0.52783633381508,0.4376178664136559,0.4634029445123809,0.5132219117872312,0.5571653063164571,0.5628312534751836,0.4439876263195869,0.5584160191310735,0.5612333343801448,0.6370382082696713,0.5762262456935305,0.4029084226177404,0.3004904529823197,0.4791038163881726,0.655103778641846,0.5023815652752934,0.5934273710380328,0.44063326386730145,0.5604153511492628,0.43076060727772947,0.6392985751320406,0.5685176142219684,0.5695593934100288,0.45870109646635976,0.3381125337330437,0.4628018535819978,0.5982279768293228,0.5360530390780749,0.7092358656092596,0.42514097870034223,0.307504086024902,0.4792563008207576,0.5901344112987406,0.5222786194760987,0.6787845111823261,0.5384282309574282,0.5411457172113582,0.5452970731946993,0.5451730260881433,0.5387876469219209,0.5454886191166688,0.5967908252643407,0.5672572818937691,0.5496910147216792,0.509448856625946,0.5899870935182512,0.5325638881263546,0.4360193468628202,0.5548578792101444,0.47068961063344583,0.6313932135696843,0.4893206410528561,0.7014657700675025,0.42474491116026586,0.5436999972725818,0.4162981459910621,0.6234343007416283,0.44064134738978455,0.6881547189074947,0.478448840467799,0.48299323081542733,0.5338227686991152,0.4685307259612049,0.5816850417819878,0.6152071689467655,0.5319674591709102,0.10133270590894662,0.08513497803562238,0.09709221392577151,0.14143192760101767,0.09941618482195201,0.12173052118577049,0.1369598191236915,2.883604647793714,5.021792220433287,6.463614116829265,6.306970349344436,3.4122883928270458,6.225862211764727,5.3005042512899285,0.569339835397748,0.6334989050711594,0.7045947856800824,0.4538980033313032,0.7582920214869793,0.7542730574294937
BO94,Kenya,Gazi,6041615.218674613,5318764.328610396,6320754.226003745,1837027.9139233923,151.05127638693324,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.5016495225171921,0.46205916618274545,0.09698330063928355,0.18353018137461888,0.16011391416714071,0.17899889560569013,0.22833835863587607,0.430087898459507,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.49611975533874425,0.5263291395427734,0.44235834038112,0.4697330623994001,0.5184758066438255,0.5613335998022547,0.5529314321527644,0.4364453795128799,0.5543353705505655,0.5535492915055047,0.6213074825157433,0.5658395902648938,0.40373532574619186,0.3015064031554675,0.4791337075098798,0.6525892931567748,0.5022253047503831,0.5937310321835034,0.4345102125716684,0.561708679975149,0.4245807468686124,0.6317400066343709,0.5600818349311345,0.563308544388232,0.4544790867746366,0.33505736236468664,0.45846947123974174,0.5962870268991884,0.5327203297410182,0.7041148577006955,0.421714917208045,0.3104297959413041,0.47844007616645645,0.5915241118627226,0.5244511864984814,0.6811189793397058,0.526643469653767,0.5296601809572176,0.5351046544265531,0.5349023036153324,0.52684308130222135,0.5349095361738705,0.5863334231564059,0.5529652558207214,0.5332774074986552,0.48521509408326546,0.5833878512085446,0.5062884712049128,0.43695490472672993,0.5521929165444024,0.4703721109801846,0.62826130432601,0.4895343332590612,0.6982511778017056,0.42729514225957255,0.5439754269601705,0.42449164798757516,0.6254619222184458,0.4455770237341913,0.6868385152473261,0.4740717669588526,0.4800563533609344,0.5304604234584605,0.46502705407747724,0.5769263416701016,0.60957343041071,0.5335734499482284,0.0991665673480752,0.08185159192588853,0.09236476339604438,0.139685872255496,0.09938753794476565,0.12385339732236257,0.13493861738728435,2.9359474609151395,5.085885512284215,6.761898094289659,6.498439304049128,3.4289865493600717,6.180606047772595,5.159189042287055,0.5756587850985204,0.65018292197769,0.7212058928302623,0.4553800981287324,0.7614918614223227,0.7495656784981486
BP93,Kenya,Vanga,6563064.689828624,5557209.1562858885,5693829.296317222,1732485.849882813,152.9823602840037,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.5062535625501171,0.4664236345672019,0.09796513103171814,0.19562934394786913,0.1736120206038364,0.18668023872692754,0.22011229619309394,0.4368528140690874,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.49449077927093527,0.5258570489818475,0.44107105541010116,0.4686937465876502,0.5222241076538057,0.5622987395455987,0.5571105554113953,0.43639625106665325,0.5555153983229544,0.5514783498791765,0.618233866436046,0.5629103515842282,0.4039320520849366,0.3015527084086652,0.4790670361824185,0.652403395512065,0.5027633357045739,0.5931215876661241,0.43534999312943934,0.5629726957747746,0.42612415559885886,0.631416437886112,0.5622334867936185,0.5636831437472002,0.4574038786452742,0.33766815569246766,0.46159912474431464,0.5979806601525254,0.5346902202840887,0.7076753200119041,0.4204854877060404,0.31232399751862483,0.4784146515325783,0.5922313188945756,0.5251057846380505,0.6826749854465094,0.5218049950027498,0.5247977658941254,0.5307883613528369,0.5305314276833506,0.521896586109761,0.5305840778640042,0.585028790961303,0.5495899144807889,0.5286021131714456,0.4790911864528181,0.5795722687158222,0.4997351453244261,0.4364904500322457,0.5523911000859355,0.46951137003283183,0.6281209940440498,0.4884724405957667,0.6982790905807615,0.427319212022289,0.5442281677197258,0.42573517689243817,0.6262689212727648,0.44615843094503893,0.686786780794254,0.47394161942666085,0.47964284432407783,0.5301350527876573,0.46477778056236085,0.5758216438365088,0.6087749222565011,0.5393197881592046,0.09862034738989436,0.0801763439164045,0.09105153375554297,0.13900372134097694,0.09959162681001588,0.12427045287245639,0.13538074228510338,2.98662741326522,5.1170918610671174,6.880499181110846,6.588555317098895,3.443425563067967,6.153516766557173,5.145799048107855,0.5860651401095076,0.666107811866625,0.7362521497920164,0.4631264224443324,0.7710706357808322,0.7598319513414387
BQ92,Tanzania,Boma Subutuni,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.19907074075640072,0.17972181528497316,0.1898021750011424,0.2100638788557491,0.43665875646394003,0.654069579773687,0.630694852548069,0.42640515780658084,0.49264082525930336,0.5231288507006906,0.4421918696823053,0.46913604886698007,0.5235581576740106,0.562888556410077,0.5551493954732671,0.4401906940491608,0.5559911496130984,0.5506955044723695,0.6156946817766342,0.5612690794140068,0.40405874270058295,0.30156185972385513,0.47905898267156766,0.6514387948329939,0.5030477714802788,0.592634526035772,0.43541547290285193,0.5595871946529243,0.42579757106140703,0.6261336690415318,0.5608348691316496,0.559023501575903,0.4577305365258395,0.3378581608658513,0.4621458723496467,0.5982772357883662,0.534943256013248,0.7081877218139541,0.41953957152769294,0.3150299861427765,0.4785298684356175,0.5932581059505347,0.5256752368105099,0.6848049785950193,0.517933953970117,0.5212055679951204,0.5265809476984329,0.5274095449354141,0.5180922250545222,0.5277778390027966,0.5829622645199672,0.5441184428192312,0.5248589336336992,0.47344389501922785,0.5747159040831094,0.49205005000000085,0.4356609523423091,0.5518548934275632,0.46832047244555597,0.6273790696178752,0.4872354375590829,0.6968192032655655,0.4283520050606953,0.5452774384583787,0.42674707276931717,0.6270801803997782,0.4475642577335885,0.6868174766542445,0.4729443720282626,0.4790222740360648,0.5291361797316634,0.4639813088835552,0.5744252048925071,0.607227293276734,0.5369570866480693,0.09754632985015609,0.07974176057022547,0.08973079867975238,0.13795158723590245,0.09983421970497004,0.12503212706479436,0.1342830279482668,2.983468564016751,5.155768946782515,6.896360024174871,6.653878027041058,3.4648645447650765,6.134015136180472,5.10009287041425,0.5848480576284535,0.6662527108951756,0.7367519639202802,0.46208699766132394,0.7689360519146196,0.7565796426980909
BQ92,Tanzania,Moa,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.19907074075640072,0.17972181528497316,0.1898021750011424,0.2100638788557491,0.43665875646394003,0.654069579773687,0.630694852548069,0.42640515780658084,0.49264082525930336,0.5231288507006906,0.4421918696823053,0.46913604886698007,0.5235581576740106,0.562888556410077,0.5551493954732671,0.4401906940491608,0.5559911496130984,0.5506955044723695,0.6156946817766342,0.5612690794140068,0.40405874270058295,0.30156185972385513,0.47905898267156766,0.6514387948329939,0.5030477714802788,0.592634526035772,0.43541547290285193,0.5595871946529243,0.42579757106140703,0.6261336690415318,0.5608348691316496,0.559023501575903,0.4577305365258395,0.3378581608658513,0.4621458723496467,0.5982772357883662,0.534943256013248,0.7081877218139541,0.41953957152769294,0.3150299861427765,0.4785298684356175,0.5932581059505347,0.5256752368105099,0.6848049785950193,0.517933953970117,0.5212055679951204,0.5265809476984329,0.5274095449354141,0.5180922250545222,0.5277778390027966,0.5829622645199672,0.5441184428192312,0.5248589336336992,0.47344389501922785,0.5747159040831094,0.49205005000000085,0.4356609523423091,0.5518548934275632,0.46832047244555597,0.6273790696178752,0.4872354375590829,0.6968192032655655,0.4283520050606953,0.5452774384583787,0.42674707276931717,0.6270801803997782,0.4475642577335885,0.6868174766542445,0.4729443720282626,0.4790222740360648,0.5291361797316634,0.4639813088835552,0.5744252048925071,0.607227293276734,0.5369570866480693,0.09754632985015609,0.07974176057022547,0.08973079867975238,0.13795158723590245,0.09983421970497004,0.12503212706479436,0.1342830279482668,2.983468564016751,5.155768946782515,6.896360024174871,6.653878027041058,3.4648645447650765,6.134015136180472,5.10009287041425,0.5848480576284535,0.6662527108951756,0.7367519639202802,0.46208699766132394,0.7689360519146196,0.7565796426980909
