ID,TC,tc_245_2050,tc_370_2050,tc_585_2050
BT96,0,0,0,0
BU156,2,0.243709779,0.243709779,0.243709779
BU157,2,0.243709779,0.243709779,0.243709779
BU158,0,0,0,0
BU90,0,0,0,0
BU91,0,0,0,0
BU92,0,0,0,0
BU93,0,0,0,0
BU94,0,0,0,0
BV156,0,0,0,0
BV157,0,0,0,0
BV158,0,0,0,0
BV90,0,0,0,0
BV91,0,0,0,0
BV92,0,0,0,0
BV93,0,0,0,0
BV94,0,0,0,0
BV95,0,0,0,0
BW90,0,0,0,0
BW91,0,0,0,0
BW92,0,0,0,0
BW93,0,0,0,0
BW94,0,0,0,0
BW95,0,0,0,0
BX90,0,0,0,0
BX91,0,0,0,0
BX92,0,0,0,0
BX93,0,0,0,0
BX94,0,0,0,0
BX95,0,0,0,0
BY160,0,0,0,0
BY161,0,0,0,0
BY91,0,0,0,0
BY92,0,0,0,0
BY93,0,0,0,0
BY94,0,0,0,0
BY95,0,0,0,0
BZ160,2,0.243709779,0.243709779,0.243709779
BZ161,2,0.243709779,0.243709779,0.243709779
BZ162,4,0.323185981,0.323185981,0.323185981
BZ92,0,0,0,0
BZ93,0,0,0,0
BZ94,0,0,0,0
BZ95,0,0,0,0
C108,0,0,0,0
C109,0,0,0,0
C110,0,0,0,0
C133,0,0,0,0
C134,0,0,0,0
C135,0,0,0,0
C136,0,0,0,0
C137,0,0,0,0
C138,0,0,0,0
C139,0,0,0,0
C140,0,0,0,0
C141,0,0,0,0
C142,0,0,0,0
CA160,2,0.243709779,0.243709779,0.243709779
CA161,2,0.243709779,0.243709779,0.243709779
CA162,4,0.323185981,0.323185981,0.323185981
CA92,0,0,0,0
CA93,0,0,0,0
CA94,0,0,0,0
CA95,0,0,0,0
CA96,0,0,0,0
CB92,0,0,0,0
CB93,0,0,0,0
CB94,0,0,0,0
CB95,0,0,0,0
CB96,1,0.207377029,0.207377029,0.207377029
CC92,0,0,0,0
CC93,0,0,0,0
CC94,0,0,0,0
CC95,0,0,0,0
CC96,1,0.207377029,0.207377029,0.207377029
CD92,1,0.207377029,0.207377029,0.207377029
CD93,1,0.207377029,0.207377029,0.207377029
CD94,2,0.243709779,0.243709779,0.243709779
CD95,2,0.243709779,0.243709779,0.243709779
CD96,0,0,0,0
CE92,1,0.207377029,0.207377029,0.207377029
CE93,1,0.207377029,0.207377029,0.207377029
CE94,2,0.243709779,0.243709779,0.243709779
CE95,2,0.243709779,0.243709779,0.243709779
CF92,0,0,0,0
CF93,0,0,0,0
CF94,0,0,0,0
CG92,0,0,0,0
CG93,0,0,0,0
CG94,0,0,0,0
CG95,0,0,0,0
CH120,1,0.207377029,0.207377029,0.207377029
CH121,1,0.207377029,0.207377029,0.207377029
CH122,1,0.207377029,0.207377029,0.207377029
CH92,0,0,0,0
CH93,0,0,0,0
CH94,0,0,0,0
CH95,0,0,0,0
CI120,1,0.207377029,0.207377029,0.207377029
CI121,1,0.207377029,0.207377029,0.207377029
CI122,1,0.207377029,0.207377029,0.207377029
CI123,1,0.207377029,0.207377029,0.207377029
CI93,0,0,0,0
CI94,0,0,0,0
CI95,0,0,0,0
CJ120,2,0.243709779,0.243709779,0.243709779
CJ121,2,0.243709779,0.243709779,0.243709779
CJ122,2,0.243709779,0.243709779,0.243709779
CJ123,2,0.243709779,0.243709779,0.243709779
CJ125,5,0.372084908,0.372084908,0.372084908
CJ126,4,0.323185981,0.323185981,0.323185981
CJ127,4,0.323185981,0.323185981,0.323185981
CJ93,0,0,0,0
CJ94,0,0,0,0
CJ95,0,0,0,0
CJ96,0,0,0,0
CK121,2,0.243709779,0.243709779,0.243709779
CK122,2,0.243709779,0.243709779,0.243709779
CK123,2,0.243709779,0.243709779,0.243709779
CK125,5,0.372084908,0.372084908,0.372084908
CK126,4,0.323185981,0.323185981,0.323185981
CK127,4,0.323185981,0.323185981,0.323185981
CK94,0,0,0,0
CK95,0,0,0,0
CK96,0,0,0,0
CL121,0,0,0,0
CL122,0,0,0,0
CL94,1,0.207377029,0.207377029,0.207377029
CL95,1,0.207377029,0.207377029,0.207377029
CL96,1,0.207377029,0.207377029,0.207377029
CL97,1,0.207377029,0.207377029,0.207377029
CL98,4,0.323185981,0.323185981,0.323185981
CM94,1,0.207377029,0.207377029,0.207377029
CM95,1,0.207377029,0.207377029,0.207377029
CM96,1,0.207377029,0.207377029,0.207377029
CM97,1,0.207377029,0.207377029,0.207377029
CM98,4,0.323185981,0.323185981,0.323185981
CM99,4,0.323185981,0.323185981,0.323185981
CN96,0,0,0,0
CN97,0,0,0,0
CN98,1,0.207377029,0.207377029,0.207377029
CN99,1,0.207377029,0.207377029,0.207377029
CO97,0,0,0,0
CO98,1,0.207377029,0.207377029,0.207377029
CO99,1,0.207377029,0.207377029,0.207377029
CP109,1,0.207377029,0.207377029,0.207377029
CP110,2,0.243709779,0.243709779,0.243709779
CP96,0,0,0,0
CP97,0,0,0,0
CP98,0,0,0,0
CP99,0,0,0,0
CQ108,1,0.207377029,0.207377029,0.207377029
CQ109,1,0.207377029,0.207377029,0.207377029
CQ110,2,0.243709779,0.243709779,0.243709779
CQ96,0,0,0,0
CQ97,0,0,0,0
CQ98,0,0,0,0
CQ99,0,0,0,0
CR108,2,0.243709779,0.243709779,0.243709779
CR109,2,0.243709779,0.243709779,0.243709779
CR110,2,0.243709779,0.243709779,0.243709779
CR96,0,0,0,0
CR97,0,0,0,0
CR98,4,0.323185981,0.323185981,0.323185981
CS108,2,0.243709779,0.243709779,0.243709779
CS109,2,0.243709779,0.243709779,0.243709779
CS110,2,0.243709779,0.243709779,0.243709779
CS111,2,0.243709779,0.243709779,0.243709779
CS112,3,0.279513478,0.279513478,0.279513478
CS113,3,0.279513478,0.279513478,0.279513478
CS114,2,0.243709779,0.243709779,0.243709779
CS131,4,0.323185981,0.323185981,0.323185981
CS132,4,0.323185981,0.323185981,0.323185981
CS133,4,0.323185981,0.323185981,0.323185981
CS134,4,0.323185981,0.323185981,0.323185981
CS96,0,0,0,0
CS97,0,0,0,0
CS98,4,0.323185981,0.323185981,0.323185981
CS99,4,0.323185981,0.323185981,0.323185981
CT108,2,0.243709779,0.243709779,0.243709779
CT109,2,0.243709779,0.243709779,0.243709779
CT110,0,0,0,0
CT111,0,0,0,0
CT112,0,0,0,0
CT113,0,0,0,0
CT114,0,0,0,0
CT115,0,0,0,0
CT130,3,0.279513478,0.279513478,0.279513478
CT131,3,0.279513478,0.279513478,0.279513478
CT132,5,0.372084908,0.372084908,0.372084908
CT133,5,0.372084908,0.372084908,0.372084908
CT134,2,0.243709779,0.243709779,0.243709779
CT97,3,0.279513478,0.279513478,0.279513478
CT98,7,0.446717755,0.446717755,0.446717755
CT99,7,0.446717755,0.446717755,0.446717755
CU109,2,0.243709779,0.243709779,0.243709779
CU110,0,0,0,0
CU111,0,0,0,0
CU112,0,0,0,0
CU113,0,0,0,0
CU114,0,0,0,0
CU115,0,0,0,0
CU116,1,0.207377029,0.207377029,0.207377029
CU130,3,0.279513478,0.279513478,0.279513478
CU131,3,0.279513478,0.279513478,0.279513478
CU132,5,0.372084908,0.372084908,0.372084908
CU133,5,0.372084908,0.372084908,0.372084908
CU134,2,0.243709779,0.243709779,0.243709779
CU135,2,0.243709779,0.243709779,0.243709779
CU97,3,0.279513478,0.279513478,0.279513478
CU98,7,0.446717755,0.446717755,0.446717755
CU99,7,0.446717755,0.446717755,0.446717755
CV109,5,0.372084908,0.372084908,0.372084908
CV110,1,0.207377029,0.207377029,0.207377029
CV111,1,0.207377029,0.207377029,0.207377029
CV112,1,0.207377029,0.207377029,0.207377029
CV113,1,0.207377029,0.207377029,0.207377029
CV114,0,0,0,0
CV115,0,0,0,0
CV116,5,0.372084908,0.372084908,0.372084908
CV117,5,0.372084908,0.372084908,0.372084908
CV118,3,0.279513478,0.279513478,0.279513478
CV130,4,0.323185981,0.323185981,0.323185981
CV131,4,0.323185981,0.323185981,0.323185981
CV132,4,0.323185981,0.323185981,0.323185981
CV133,4,0.323185981,0.323185981,0.323185981
CV134,4,0.323185981,0.323185981,0.323185981
CV135,4,0.323185981,0.323185981,0.323185981
CV136,2,0.243709779,0.243709779,0.243709779
CV97,2,0.243709779,0.243709779,0.243709779
CV98,0,0,0,0
CV99,0,0,0,0
CW115,0,0,0,0
CW116,5,0.372084908,0.372084908,0.372084908
CW117,5,0.372084908,0.372084908,0.372084908
CW118,3,0.279513478,0.279513478,0.279513478
CW130,4,0.323185981,0.323185981,0.323185981
CW131,4,0.323185981,0.323185981,0.323185981
CW132,4,0.323185981,0.323185981,0.323185981
CW133,4,0.323185981,0.323185981,0.323185981
CW134,4,0.323185981,0.323185981,0.323185981
CW135,4,0.323185981,0.323185981,0.323185981
CW136,2,0.243709779,0.243709779,0.243709779
CW96,2,0.243709779,0.243709779,0.243709779
CW97,2,0.243709779,0.243709779,0.243709779
CW98,0,0,0,0
CW99,0,0,0,0
CX115,3,0.279513478,0.279513478,0.279513478
CX116,5,0.372084908,0.372084908,0.372084908
CX117,5,0.372084908,0.372084908,0.372084908
CX128,4,0.323185981,0.323185981,0.323185981
CX129,4,0.323185981,0.323185981,0.323185981
CX130,3,0.279513478,0.279513478,0.279513478
CX131,3,0.279513478,0.279513478,0.279513478
CX132,3,0.279513478,0.279513478,0.279513478
CX134,1,0.207377029,0.207377029,0.207377029
CX135,1,0.207377029,0.207377029,0.207377029
CX136,3,0.279513478,0.279513478,0.279513478
CX96,1,0.207377029,0.207377029,0.207377029
CX97,1,0.207377029,0.207377029,0.207377029
CX98,0,0,0,0
CX99,0,0,0,0
CY116,5,0.372084908,0.372084908,0.372084908
