ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_370_2050,evspsbl_585_2050,npp_245_2050,npp_370_2050,npp_585_2050,pH_trend_245_2050,pH_trend_370_2050,pH_trend_585_2050,tap_trend_245_2050,tap_trend_370_2050,tap_trend_585_2050,sst_trend_245_2050,sst_trend_370_2050,sst_trend_585_2050,ts_trend_245_2050,ts_trend_370_2050,ts_trend_585_2050,cdd_245_2050,cdd_370_2050,cdd_585_2050,r10p_245_2050,r10p_370_2050,r10p_585_2050,sst90p_245_2050,sst90p_370_2050,sst90p_585_2050,ts90p_245_2050,ts90p_370_2050,ts90p_585_2050,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
L137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6601755663419494,0.7393146254829255,0.6360979142488872,0.47076523036018664,0.21781847755248346,0.522531716948693,NA,NA,NA,0.6372183029350339,0.6404024231889911,0.7592982026802738,NA,NA,NA,0.5441830725267746,0.6662893418360933,0.7926663394131356,0.7189213607368689,0.7303618325506649,0.7232244293029068,0.31437875114487496,0.2861095473892336,0.17691485174851565,NA,NA,NA,0.4965951127099594,0.42031618414884003,0.5395024136222939,0.2966559374214208,0.4873535013348293,0.6343987710854958,0,0,0,0,0.4965951127099594,0.4873535013348293,0.6343987710854958,NA,0.22542887799684524,0.25709182921760393,0.2708214860786022,NA,NA,2.2028904066004755,1.89563979072369,2.342497932019213,NA,NA,NA
L138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6399431889407218,0.6995811629771836,0.6343229127032679,0.4537519064439894,0.22564893077098608,0.5137640684591586,NA,NA,NA,0.6399431889407218,0.6413253799053066,0.7486841132307641,NA,NA,NA,0.5318682900396978,0.6492821441203604,0.7832393173543084,0.7130436145944895,0.7222502456414643,0.7175312535592719,0.30409976433958175,0.21740206658004008,0.15968971841383844,NA,NA,NA,0.4956042834251192,0.44975537884733163,0.5521095387395342,0.3138073072070341,0.496718952112114,0.6526776357410926,0,0,0,0,0.4956042834251192,0.496718952112114,0.6343229127032679,NA,0.22143954341892932,0.25533008458306417,0.2719901193951508,NA,NA,2.2381019928654413,1.9453992384924819,2.33215424925681,NA,NA,NA
L139,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,0.5634980554370699,0.43447827055218674,0.7623922225515467,0.46616434947133356,0.209008925393238,0.541538304442411,NA,NA,NA,0.6434244591314374,0.6455557495760601,0.7375621343927884,NA,NA,NA,0.5178804409723867,0.6241270928194463,0.7641812158111662,0.7091811635694404,0.7179922754367803,0.7139239365418033,0.24695961002229389,0.15968971841383844,0.2062157597591368,NA,NA,NA,0.49089361447211133,0.47035631548207535,0.5192554465098979,0.3326323002470028,0.5063781539291213,0.6726453325850219,0,0,0,0,0.49089361447211133,0.47035631548207535,0.6726453325850219,0.7514165,0.21817760134251746,0.24500275032026492,0.2714924381602775,0.24732812941110946,3.0381360251627245,2.2499725519553055,1.919800144558503,2.477584043014564,0.6405698082111184,0.6425850498973475,0.7160335971288121
L140,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5024142449102937,0.5932679934492961,0.7486393864447642,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4885654653672923,0.47396204615515014,0.4885654653672923,0.3472035171170626,0.5168192375903955,0.686519624407029,0,0,0,0,0.4178844912421774,0.4953906418727728,0.5875425448871606,0.7514165,0.23379690774737835,0.26858023596005304,0.33925770660901294,0.24732812941110946,3.0381360251627245,1.7873824562885534,1.8444791371262854,1.7318473049877996,0.6278755243813303,0.6546989955102261,0.6919184582089596
M137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6272148387234977,0.7330597052216117,0.7075137152730245,0.4400508749687957,0.23014470472453483,0.5014022969325309,NA,NA,NA,0.6417891318961936,0.6436596518249544,0.7393146254829255,NA,NA,NA,0.5221372261648595,0.6454199260643664,0.7815130905071039,0.7083438046813971,0.7184556348724729,0.7148126599488014,0.30409976433958175,0.17691485174851565,0.17691485174851565,NA,NA,NA,0.48791299241092123,0.4399818417004282,0.5453615183807491,0.29917680543714775,0.4885344015217822,0.6345013865085023,0,0,0,0,0.48791299241092123,0.4885344015217822,0.6345013865085023,NA,0.22027343437004665,0.2633451264019437,0.2716092459813893,NA,NA,2.2150333007985683,1.8551108509072314,2.336081690503196,NA,NA,NA
M138,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,0.6198113793504569,0.6588477243102758,0.6984444082618415,0.4262417121512686,0.23993995219877295,0.5042074446426174,NA,NA,NA,0.6429552644721341,0.6443676354529854,0.7341631000044058,NA,NA,NA,0.5135172620108325,0.6240318890542846,0.7686860143752919,0.7026775799150131,0.7079278609937265,0.7058747363473382,0.21740206658004008,0.08642860763164957,0.15968971841383844,NA,NA,NA,0.47269916653206573,0.4646818426621442,0.5299609691233199,0.31654237472724334,0.49820483584841874,0.6533925376772016,0,0,0,0,0.47269916653206573,0.49820483584841874,0.6533925376772016,0.7514165,0.2256434645690977,0.2640565049497807,0.2719955726753657,0.24732812941110946,3.0381360251627245,2.0948941172958873,1.8867357043265012,2.402217548066651,0.6376662811106357,0.6544102196849049,0.7081334892079141
M139,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5025380668470996,0.598470728860965,0.7548279188387315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4892797669492737,0.46023886815917636,0.514637662946614,0.3357039390341073,0.5081139224247758,0.6737912379324299,0,0,0,0,0.4124918529916905,0.4841763952919761,0.5942144504395219,0.7514165,0.2338502507479417,0.26735295145697463,0.33889525257379505,0.24732812941110946,3.0381360251627245,1.7639145208199918,1.8110007488355522,1.753386764573017,0.6269209120012686,0.6516106887182382,0.693890739368421
M140,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4925681334837736,0.5795360116682593,0.7404063217955991,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47811375261365247,0.4354279858821702,0.48255665770205897,0.350023264855758,0.518817730803559,0.6881712585467104,0,0,0,0,0.41406850873470524,0.4771228583428646,0.5853639581243847,0.7514165,0.22925014617495407,0.26236727434887486,0.3374085611346559,0.24732812941110946,3.0381360251627245,1.8061864545931656,1.8185303770333228,1.7348817592413508,0.6256376372480115,0.6487099769917395,0.6910602350564715
N136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614079283219764,0.7875552095023963,0.7121715031375063,0.42333251618233125,0.21464408601802112,0.4709084832351206,NA,NA,NA,0.6486942218389552,0.6448416495340584,0.7364138451751321,NA,NA,NA,0.5110928726830462,0.646317712632095,0.7809479653769585,0.7071013485071934,0.7166161096548176,0.7113074177441543,0.31437875114487496,0.21740206658004008,0.136563376172601,NA,NA,NA,0.49504683936469174,0.4400502938412408,0.5382755009389537,0.28046543955076453,0.47999370076646614,0.6151667863445711,0,0,0,0,0.49504683936469174,0.47999370076646614,0.6151667863445711,NA,0.22030213401118864,0.2677381814331822,0.27785539276479565,NA,NA,2.247126845078811,1.7927726938201205,2.2139818134295104,NA,NA,NA
N137,NA,NA,NA,NA,165,0.900021,0.864635,0.638198,0.688145,0.632083,0.14931,NA,NA,NA,NA,0.36406148447082526,0.900021,0.864635,0.638198,0.6060955359363597,0.665634702778374,0.7448062351753778,0.41557568988093135,0.2376077774484637,0.48327387492110185,NA,NA,NA,0.64796346322284,0.6460338935013712,0.7330597052216117,NA,NA,NA,0.5035287296124953,0.6220469242919385,0.76505835147899,0.6992008081446345,0.7054693012741685,0.7034671093199256,0.1922530772895584,0.11039984144820529,0.17691485174851565,NA,NA,NA,0.45868339133230623,0.4466862342606405,0.5117141316600876,0.30181408924742553,0.4895902362730001,0.634604081197002,0,0,0,0,0.45868339133230623,0.4895902362730001,0.634604081197002,0.7514165,0.22777604935499796,0.2604156558302581,0.27196382395684865,0.24732812941110946,3.0381360251627245,2.0137472426586434,1.880033804849738,2.3334135840717254,0.6347292253415973,0.6513300361694055,0.7006729148798697
