ID,Country,Villages,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_245_2100,evspsbl_370_2050,evspsbl_370_2100,evspsbl_585_2050,evspsbl_585_2100,npp_245_2050,npp_245_2100,npp_370_2050,npp_370_2100,npp_585_2050,npp_585_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,ts_trend_245_2050,ts_trend_245_2100,ts_trend_370_2050,ts_trend_370_2100,ts_trend_585_2050,ts_trend_585_2100,SLR_245_2050,SLR_245_2100,SLR_370_2050,SLR_370_2100,SLR_585_2050,SLR_585_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100,tc_245_2050,tc_370_2050,tc_585_2050,hzd.ssp245.2050,hzd.ssp370.2050,hzd.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
BF100,Kenya,Faza,5052746.453501431,5843741.970800561,6545059.324910167,1414136.3927422327,146.23833252729798,0.646235974208442,0.6236587174403901,0.4265718205527782,0.49881885983166163,0.45888764728019277,0.09731345124250002,0.15690259428637118,0.15302407556671369,0.18355273823307144,0.18715898812450907,0.4069689875480613,0.646235974208442,0.6236587174403901,0.4265718205527782,0.3315014670825907,0.5019414783640417,0.359710634677165,0.48558328513701765,0.4234766540370169,0.5470056553256097,0.38346001379189054,0.4882014115683784,0.41292442279984626,0.5574480749034613,0.5140236828493749,0.6231027222684611,0.3086002929209426,0.6048390143950158,0.3828751002671033,0.6316580126343776,0.4875970086749963,0.7611692106428283,0.34415225459254106,0.5117325740662081,0.3868055310772107,0.5909977381446219,0.48702866868475303,0.5994441458305957,0.3245321019314118,0.5464427949963833,0.3988146605850791,0.6630299929122847,0.5023481178150774,0.7707303458738677,0.286833583613294,0.09940246811802007,0.4371569324245611,0.7427295585891143,0.5659652263505568,0.8959756129126664,0.10722019070964277,0.5600695415788033,0.21049926883719802,0.7333277730918275,0.37485800580802053,0.8822561995409084,0.37421148527314985,0.49896965147576394,0.41810743403855133,0.5401353100404235,0.4569809328987863,0.5804913461419433,0.29566240466512916,0.42950497317236674,0.34965712501072016,0.48029785414786524,0.38056636991331744,0.5152643680315873,0.2696279788519337,0.5821569360974186,0.3461312309477524,0.7000825938217684,0.4354759603054999,0.8159894640303043,0.3019695160549543,0.6288322190709217,0.27111298139962337,0.8015650452826052,0.33169072139409433,0.8944964961415022,0.0867945210665829,0.0867945210665829,0.0867945210665829,0.2845471508795053,0.33838248692761613,0.42056715581650633,0.564096829564554,0.15605921165816825,0.18353468369075254,0.20810948639882215,0.16392408396607044,0.3479043227385211,0.3935958250745144,0.42710132097875464,0.4549872193560001,0.10107193855742932,0.1046259717898138,0.11264721391399615
BF101,Kenya,Kiwayu,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698517,0.18403797286824097,0.41447391126231803,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.3327868129892076,0.5049441340887246,0.3621314515477694,0.4889928702417218,0.4300171781918483,0.5524951165116803,0.3800450617817992,0.4883768221398871,0.41158543368950323,0.5577365133143232,0.5136949577986177,0.6236113411327117,0.3084021693245102,0.6032242130829489,0.3818285223324784,0.628627434816485,0.4865089736803364,0.7587992148612445,0.34447778632388787,0.5145324484764237,0.3879627730020871,0.5922825664509616,0.4873762321305734,0.6026294908599852,0.32185345086948636,0.5401422076871254,0.395773106327455,0.6585528600672796,0.49838667716687945,0.7648988009961074,0.28566746537550625,0.10070601736974649,0.43540920060622734,0.742977481957048,0.5673476972950346,0.8957761325651482,0.1091387650762273,0.5613467941637587,0.2128499297176726,0.7347238695204048,0.3767904392846855,0.8836976076590114,0.3749737041571859,0.5005490217020047,0.41908107058235106,0.5418655382767805,0.45838821141280467,0.5826400667446496,0.296632377426701,0.4312483353915442,0.35029455793631054,0.48141205587511654,0.3816819158202366,0.5165312865994712,0.2678004759866844,0.5815147053112857,0.3435494780915322,0.699274839838373,0.43197902536021815,0.8149897806168707,0.3084082630971689,0.6347933483733798,0.2752815653365657,0.8040825521792908,0.3383719980265725,0.8948415574545879,0.08834755346308844,0.08834755346308844,0.08834755346308844,0.2848778238226211,0.33867455355275344,0.4215742383025746,0.57232523604066865,0.15615647454770473,0.18347112220393608,0.20799531861721748,0.16556378820578835,0.35264422097502923,0.39367819211667243,0.427007973874914,0.4548190193414054,0.10199112764895396,0.10551653694160706,0.11363015642636147
BF101,Kenya,Ndau,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468,149.03610200684804,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.5091031842007124,0.4682939933067577,0.0993801753289802,0.15027665920014313,0.15158200648364847,0.17771161662698517,0.18403797286824097,0.41447391126231803,0.6594832374294318,0.6364220338687084,0.43559270985523346,0.3327868129892076,0.5049441340887246,0.3621314515477694,0.4889928702417218,0.4300171781918483,0.5524951165116803,0.3800450617817992,0.4883768221398871,0.41158543368950323,0.5577365133143232,0.5136949577986177,0.6236113411327117,0.3084021693245102,0.6032242130829489,0.3818285223324784,0.628627434816485,0.4865089736803364,0.7587992148612445,0.34447778632388787,0.5145324484764237,0.3879627730020871,0.5922825664509616,0.4873762321305734,0.6026294908599852,0.32185345086948636,0.5401422076871254,0.395773106327455,0.6585528600672796,0.49838667716687945,0.7648988009961074,0.28566746537550625,0.10070601736974649,0.43540920060622734,0.742977481957048,0.5673476972950346,0.8957761325651482,0.1091387650762273,0.5613467941637587,0.2128499297176726,0.7347238695204048,0.3767904392846855,0.8836976076590114,0.3749737041571859,0.5005490217020047,0.41908107058235106,0.5418655382767805,0.45838821141280467,0.5826400667446496,0.296632377426701,0.4312483353915442,0.35029455793631054,0.48141205587511654,0.3816819158202366,0.5165312865994712,0.2678004759866844,0.5815147053112857,0.3435494780915322,0.699274839838373,0.43197902536021815,0.8149897806168707,0.3084082630971689,0.6347933483733798,0.2752815653365657,0.8040825521792908,0.3383719980265725,0.8948415574545879,0.08834755346308844,0.08834755346308844,0.08834755346308844,0.2848778238226211,0.33867455355275344,0.4215742383025746,0.57232523604066865,0.15615647454770473,0.18347112220393608,0.20799531861721748,0.16556378820578835,0.35264422097502923,0.39367819211667243,0.427007973874914,0.4548190193414054,0.10199112764895396,0.10551653694160706,0.11363015642636147
BG99,Kenya,Matondoni,5573811.292188116,8274565.227132752,6808402.824797056,1598336.751420018,144.45233532455828,0.6358074193872516,0.613543287319198,0.4188924143856959,0.49073793616737243,0.4515140881086452,0.09551826433028418,0.16104999007680013,0.15457039959477553,0.1772356747643838,0.20567051814054893,0.4034795305348205,0.6358074193872516,0.613543287319198,0.4188924143856959,0.334583983337851,0.5023960214474551,0.3616130442626466,0.4878954277609118,0.4231606804719112,0.5510020809131205,0.3874110624894123,0.48835144777604284,0.4152661153869176,0.5594906218416446,0.5154044631782408,0.6243598634966472,0.3082096006178747,0.6023151874706542,0.3787871459236819,0.6191937464656516,0.481528628113138,0.7463768863992539,0.34328361793163303,0.5095857217261418,0.3860251665089699,0.5913284526909571,0.4869260298325448,0.5970994516782285,0.325414543414376,0.5463536855598898,0.3948436223493561,0.6553691150883245,0.5030907695242425,0.7709959184781793,0.2867995427680212,0.09855442782134524,0.43705308544979676,0.7419076802235072,0.5642265086383276,0.8958907153427285,0.10779630719738666,0.5606154464313626,0.2104971970550034,0.7337273256171548,0.37495949384596444,0.8822626771634052,0.37232695190285475,0.4981798833878879,0.416604588172901,0.5400745060027868,0.4554926694996865,0.5807747926126697,0.29853130600730554,0.43401385399850434,0.3541344956249986,0.4875285826874466,0.38418543784615167,0.5237015156214192,0.2705657827033255,0.5803196930481562,0.3447215903533642,0.6977221923550267,0.4360946847322073,0.8129883684783367,0.298230997675542,0.6238106369033534,0.27340167521459297,0.8014163459196962,0.32997533416035557,0.8934107836549466,0.08771093793175783,0.08771093793175783,0.08771093793175783,0.28507205283144504,0.33838822201949886,0.4202296364812107,0.5741021863911846,0.15597102341952523,0.1834170169997231,0.20846659305029014,0.16436700266226242,0.3491556743192625,0.3934935772199602,0.42693977439634406,0.4553832963034275,0.10146759148533067,0.104855955087799,0.11282726315464524
BK95,Kenya,Uyombo,5420009.60805591,5638381.8457952645,5444013.645183466,2068292.8994417496,144.43626037468022,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.4848297791544817,0.446279252645515,0.09375709788478254,0.1668077604826714,0.14822242187731122,0.16800652607510885,0.2507281452464403,0.40863409720242655,0.6282068825184165,0.6062684837125544,0.4116688630176911,0.32340491366864726,0.4863691203481298,0.35478384172184485,0.4817497348797593,0.41897141846149494,0.5444038419218838,0.38087311436358096,0.4761428455836492,0.40574788688732777,0.5553096879287605,0.5122110299086604,0.615387593921017,0.3081738696633343,0.5983215412368413,0.38268991382278145,0.629243921848063,0.48715485710675754,0.7602817272794776,0.3309176143639905,0.5002999281723471,0.3746875386840177,0.5829643534226693,0.47923961957442995,0.5817441360316621,0.32567303184263774,0.5437335794319955,0.40188920944434925,0.6673382015035438,0.5026616291872549,0.7690509488601632,0.28759624604712375,0.09657039387749695,0.43716364607472014,0.7445039438162447,0.5639040495014875,0.8962665481359562,0.11807870834672538,0.5676458878929469,0.21983505490033142,0.7408496580167517,0.3832638245232024,0.8879124442488301,0.35980119667270455,0.48331283183273277,0.40400307797046,0.5255102926030808,0.44044579998555505,0.5649181794856335,0.30222742651954826,0.43759603431977195,0.36344751632175676,0.5025863545258158,0.38297059651754434,0.5376962282818638,0.2708910657343508,0.5769360302191937,0.34862492028097103,0.6934127917903716,0.4355422949360937,0.8075313208990564,0.3042562978768245,0.6170783636315211,0.2887290975414511,0.8026864663704442,0.3408438361191546,0.8916147412425349,0.09329751548541534,0.09329751548541534,0.09329751548541534,0.28376591671540696,0.33957493492795227,0.4200422059422542,0.5983178394526978,0.15375582428490234,0.18077803268527914,0.20763264106058874,0.15824534381213815,0.33795621472920495,0.39045063274162867,0.4237325419474465,0.4543915923108778,0.0982616372306297,0.1020487844303574,0.1094338729421877
BK96,Kenya,Mida,4529388.747228705,4718758.739717392,5595311.487823924,1936159.2526381323,149.61530573888456,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.5020454088301578,0.4621904743491806,0.09715524730816058,0.16065294503412497,0.1414225264884971,0.16960660412078957,0.23408096210398796,0.42233827644318733,0.6510957366828384,0.6279771237046933,0.4264586998529218,0.32980348827126016,0.4979521801874179,0.36600613529598786,0.4986953703574763,0.4274996412029071,0.5622000470850845,0.38454411329279703,0.48721295373775725,0.4124955661389218,0.566245823250754,0.5175167273101373,0.6281241162526252,0.30795669060090425,0.5978736933645055,0.3824228352990077,0.6286496283478199,0.4866569519681153,0.7592305139906939,0.3384929041256429,0.5115384023230923,0.3836965482023642,0.5938085483643868,0.4861480894905558,0.5973384236115422,0.32542269728356404,0.5431123578071533,0.4012957242702475,0.6663830926786531,0.5022916960562477,0.7685136299696136,0.2864647250905162,0.09643727390615857,0.4354075204347049,0.7438062260218047,0.5631228165817329,0.8955959378928178,0.11829879006358617,0.567833613095814,0.22022438763153435,0.7411420404631127,0.38363670192649235,0.8881804291768121,0.36565588581300584,0.49626419724136617,0.41190961173142177,0.540806890257886,0.451136977143232,0.5827787370377131,0.3102508335365362,0.45275000284270805,0.3721281530702214,0.5177276445869787,0.3959818794273484,0.5558073766736576,0.27081087277315546,0.5767678007449861,0.34834758089241064,0.693221994314576,0.4352873396408984,0.8073068555581071,0.3047080638458604,0.6208961764619365,0.2889976982545608,0.8038517612419354,0.3416884752700639,0.8923424885845748,0.09262592527024124,0.09262592527024124,0.09262592527024124,0.28625291583058915,0.34296314054096866,0.42363276844066433,0.5930457038287442,0.1545828002815468,0.18149419582863,0.20778700289807808,0.16593515556486943,0.3517490655301092,0.39159745104153143,0.42461831852625537,0.45459047076836967,0.10309471576506311,0.10712507090324688,0.11483370753516141
BO94,Kenya,Gazi,6041615.218674613,5318764.328610396,6320754.226003745,1837027.9139233923,151.05127638693324,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.5016495225171921,0.46205916618274545,0.09698330063928355,0.18353018137461888,0.16011391416714071,0.17899889560569013,0.22833835863587607,0.430087898459507,0.6512548759261393,0.6279276284554051,0.4250233969518621,0.3287140434203709,0.5025570202817754,0.37735762678981555,0.5163258277727123,0.44052220146350324,0.5733329228406562,0.38038289878418924,0.49405171662656794,0.4136693952595312,0.5704765094602524,0.5179459867422075,0.6331568806353947,0.30501032844106973,0.5820044013561673,0.3712069523557975,0.5960970947688172,0.4768120756663491,0.7387409246431264,0.33696109581018974,0.5217578217420672,0.3844003587478533,0.5972672735071384,0.4874820178506809,0.604833319705569,0.31244927520230337,0.5086930399726767,0.3843520158339669,0.6415094345018665,0.4819715550669459,0.73677550493935,0.2772729728471885,0.0964910587084847,0.43275901605369943,0.7475128444953699,0.5695404224328169,0.8982541568381662,0.1254385444340784,0.572776025674569,0.22531127332021325,0.7459335965572784,0.3891571484136803,0.8924063900282545,0.35920883964802014,0.4951066883490943,0.4083561346738471,0.5427257781436435,0.44771698720074293,0.5860430329259525,0.3221577632541397,0.47208529869412097,0.3923931283014184,0.5495023259428703,0.4095253541625757,0.5890266504245968,0.2643077588893148,0.5684902825565726,0.3385435087992232,0.6828186970681801,0.4197451938180636,0.7942965014142708,0.31204194406114544,0.621555938062798,0.3100474616582629,0.8080490882618281,0.3555520220062003,0.891651597932149,0.09444223461726756,0.09444223461726756,0.09444223461726756,0.28486564161743977,0.34440325886757467,0.4242010999534195,0.6025421137587923,0.1552340463078287,0.18136568137563605,0.20938237045785849,0.1630875796662431,0.3480016420676406,0.39238723479474014,0.42434851834284965,0.45630898941222187,0.10102042895216645,0.10554661961450713,0.1127507233563809
BP93,Kenya,Vanga,6563064.689828624,5557209.1562858885,5693829.296317222,1732485.849882813,152.9823602840037,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.5062535625501171,0.4664236345672019,0.09796513103171814,0.19562934394786913,0.1736120206038364,0.18668023872692754,0.22011229619309394,0.4368528140690874,0.6576234678296963,0.6339603337925268,0.42884253694550795,0.325726003985628,0.49802546491109634,0.37743350067161313,0.5158994154581733,0.44009539728639563,0.5717712647553069,0.38182783879911236,0.49223726582477384,0.4146531485787959,0.5662298342251602,0.5161058542149716,0.6289714608131639,0.3040498758079287,0.5775748035673346,0.37397498414435953,0.6035101798858998,0.47650072063319615,0.7381371866466196,0.3363370966763348,0.5195481212396413,0.3830064001630238,0.5941028634298537,0.4862895390784634,0.600237409953728,0.3151330868568965,0.5110224030027466,0.38761125295216936,0.6447823971589275,0.4850967890655776,0.7401913410547206,0.2739800705891773,0.09755177394308659,0.43262790886911673,0.7492416199809387,0.5714531762824757,0.8998359880550039,0.12420497225997447,0.5721878178372484,0.22352166323686928,0.7449751011302639,0.38788512757708604,0.8913370523116427,0.35523917409423417,0.49074359957288954,0.40458991817274037,0.5388413255628907,0.443301587482535,0.5819265241672729,0.32272220393679263,0.4741782794585108,0.39429363518947713,0.5532145015283425,0.41074496579954223,0.593481854123834,0.2650798299164155,0.5667150406916126,0.33962019419069767,0.6805731283441186,0.42092611500002963,0.7914717678630704,0.312578425117031,0.6222709070206891,0.3138763147493568,0.8096241916365965,0.3576148772600312,0.8917301031467573,0.09455115884108604,0.09455115884108604,0.09455115884108604,0.28428581140671766,0.34498000664660883,0.42421377571011587,0.5954676939218481,0.15515241793785722,0.18080130284442447,0.20917324034374488,0.16587803697210196,0.3519343709878184,0.392288432324287,0.423690934084611,0.45609370032225416,0.1025875456690671,0.1074243325772545,0.1145300871912031
BQ92,Tanzania,Boma Subutuni,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.19907074075640072,0.17972181528497316,0.1898021750011424,0.2100638788557491,0.43665875646394003,0.654069579773687,0.630694852548069,0.42640515780658084,0.32323677377421745,0.4937438915937731,0.3766624943273792,0.5131290283241063,0.4411206977262725,0.5703684560195862,0.37758508937366814,0.49200286427363554,0.41362217925227357,0.5611185371798691,0.5128951833295976,0.6232832775176637,0.30437172020266334,0.5783719939691497,0.37542753913739113,0.6073846326270876,0.47819128831655255,0.7415384503082585,0.33446008800522975,0.5134715738080778,0.3797818167005858,0.5876894458747465,0.48304884854840086,0.5908174957868528,0.3170349718497089,0.5147229130803445,0.390070638878309,0.6482004864261042,0.4876302658925233,0.7438961308007936,0.2716150706963511,0.09995042595487025,0.43300183451728436,0.7516001226847973,0.5731143826887402,0.9017805347534773,0.12280556005081077,0.5714574316776871,0.22159036097459928,0.7438933292538922,0.38632702091051174,0.8902073924574372,0.34990410837680946,0.48363912316601365,0.3990489297967056,0.5318778233976187,0.43657060904294853,0.5744025436142094,0.3218685615169687,0.4741856004955195,0.39561690890462353,0.554488599505502,0.41068152963387144,0.5952683911090535,0.26574512053422755,0.5666951070072577,0.34074591275545674,0.6805477176665509,0.4225348823934505,0.7914195167553314,0.3161777684108968,0.6251691545505034,0.31823386058270303,0.8107034167361572,0.3620428122510095,0.8913057497451105,0.09633813038831252,0.09633813038831252,0.09633813038831252,0.2834285802649887,0.3450117171846353,0.42420797092684925,0.5865897728509063,0.15469771740767344,0.18063488542256115,0.20866320028611024,0.16334943311870898,0.34794706107554474,0.3916256971428584,0.42349422019462774,0.4555268172794097,0.10094982479142178,0.10577797688015383,0.11275097439477477
BQ92,Tanzania,Moa,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727,152.48009327041544,0.654069579773687,0.630694852548069,0.42640515780658084,0.5036053509960596,0.4640302401139073,0.09745215335440342,0.19907074075640072,0.17972181528497316,0.1898021750011424,0.2100638788557491,0.43665875646394003,0.654069579773687,0.630694852548069,0.42640515780658084,0.32323677377421745,0.4937438915937731,0.3766624943273792,0.5131290283241063,0.4411206977262725,0.5703684560195862,0.37758508937366814,0.49200286427363554,0.41362217925227357,0.5611185371798691,0.5128951833295976,0.6232832775176637,0.30437172020266334,0.5783719939691497,0.37542753913739113,0.6073846326270876,0.47819128831655255,0.7415384503082585,0.33446008800522975,0.5134715738080778,0.3797818167005858,0.5876894458747465,0.48304884854840086,0.5908174957868528,0.3170349718497089,0.5147229130803445,0.390070638878309,0.6482004864261042,0.4876302658925233,0.7438961308007936,0.2716150706963511,0.09995042595487025,0.43300183451728436,0.7516001226847973,0.5731143826887402,0.9017805347534773,0.12280556005081077,0.5714574316776871,0.22159036097459928,0.7438933292538922,0.38632702091051174,0.8902073924574372,0.34990410837680946,0.48363912316601365,0.3990489297967056,0.5318778233976187,0.43657060904294853,0.5744025436142094,0.3218685615169687,0.4741856004955195,0.39561690890462353,0.554488599505502,0.41068152963387144,0.5952683911090535,0.26574512053422755,0.5666951070072577,0.34074591275545674,0.6805477176665509,0.4225348823934505,0.7914195167553314,0.3161777684108968,0.6251691545505034,0.31823386058270303,0.8107034167361572,0.3620428122510095,0.8913057497451105,0.09633813038831252,0.09633813038831252,0.09633813038831252,0.2834285802649887,0.3450117171846353,0.42420797092684925,0.5865897728509063,0.15469771740767344,0.18063488542256115,0.20866320028611024,0.16334943311870898,0.34794706107554474,0.3916256971428584,0.42349422019462774,0.4555268172794097,0.10094982479142178,0.10577797688015383,0.11275097439477477
